,Id,ExternalId,Name,Precursor,PrecursorType,RetentionTime,Significance,ClusterId,Consensus,Reference,Clusterable,ChromatographyType,FileId,IntegerMz,Mass,Formula,TopMz1,TopMz2,TopMz3,TopMz4,TopMz5,TopMz6,TopMz7,TopMz8,TopMz9,TopMz10,TopMz11,TopMz12,TopMz13,TopMz14,TopMz15,TopMz16
27259,2162422,1145,1145 (trimethylamine oxide),76.0756,[M+H]+,0.6,,,0,1,0,LC_MSMS_POS,237.0,0,75.068414,C3H9NO,59.0731,58.0653,76.0756,59.0789,58.0709,76.0388,,,,,,,,,,
27260,2162423,1145,1145 (trimethylamine oxide),76.0756,[M+H]+,0.6,,,0,1,0,LC_MSMS_POS,237.0,0,75.068414,C3H9NO,59.0731,58.0653,76.0756,59.0789,58.0709,76.0388,,,,,,,,,,
27261,2162424,1145,1145 (trimethylamine oxide),76.0756,[M+H]+,0.6,,,0,1,0,LC_MSMS_POS,237.0,0,75.068414,C3H9NO,59.0731,58.0653,76.0756,59.0789,58.0709,76.0388,,,,,,,,,,
27262,2162425,1145,1145 (trimethylamine oxide),76.0756,[M+H]+,0.6,,,0,1,0,LC_MSMS_POS,237.0,0,75.068414,C3H9NO,59.0731,58.0653,76.0756,59.0789,58.0709,76.0388,,,,,,,,,,
27263,2162426,1145,1145 (trimethylamine oxide),76.0756,[M+H]+,0.6,,,0,1,0,LC_MSMS_POS,237.0,0,75.068414,C3H9NO,59.0731,58.0653,76.0756,59.0789,58.0709,76.0388,,,,,,,,,,
27507,2162670,12284,12284 (3-Methylglutaric acid),129.0545,[M+H-H2O]+,4.43,,,0,1,0,LC_MSMS_POS,237.0,0,146.057909,C6H10O4,101.0597,55.0545,59.0493,83.0491,69.0336,55.0603,115.0145,103.1804,68.5482,104.9471,113.0184,127.0343,96.9375,129.0179,129.0528,84.0803
27508,2162671,12284,12284 (3-Methylglutaric acid),129.0545,[M+H-H2O]+,4.47,,,0,1,0,LC_MSMS_POS,237.0,0,146.057909,C6H10O4,101.0597,55.0545,59.0493,83.0491,69.0336,55.0603,115.0145,103.1804,68.5482,104.9471,113.0184,127.0343,96.9375,129.0179,129.0528,84.0803
28066,2163229,145742,145742 (L-Proline),116.0706,[M+H]+,0.7,,,0,1,0,LC_MSMS_POS,237.0,0,115.063329,C5H9NO2,70.0653,116.0708,70.0737,79.0497,,,,,,,,,,,,
28141,2163304,751,751 (DL-Glyceraldehyde),203.0525,[2M+Na]+,0.74,,,0,1,0,LC_MSMS_POS,237.0,0,90.031694,C3H6O3,203.0525,116.0705,172.1079,70.0651,133.0972,115.0866,88.0866,158.1287,189.0005,144.9964,126.1019,203.0138,170.9872,184.9707,70.057,72.0811
28613,2163776,227,227 (ANTHRANILATE),120.0444,[M+H-H2O]+,5.81,,,0,1,0,LC_MSMS_POS,237.0,0,137.047678,C7H7NO2,102.0913,120.0444,58.0654,92.0493,65.039,102.106,75.6455,68.2888,58.0589,70.075,,,,,,
28737,2163900,5988,5988 (SUCROSE),365.1049,[M+Na]+,0.74,,,0,1,0,LC_MSMS_POS,237.0,0,342.116212,C12H22O11,365.1048,203.052,185.0419,329.1574,223.0157,109.6507,62.7786,62.7699,185.0732,,,,,,,
28836,2163999,1145,1145 (trimethylamine oxide),76.0756,[M+H]+,0.6,,,0,1,0,LC_MSMS_POS,237.0,0,75.068414,C3H9NO,59.0731,58.0653,76.0756,59.0789,58.0709,76.0388,,,,,,,,,,
28837,2164000,1145,1145 (trimethylamine oxide),76.0756,[M+H]+,0.6,,,0,1,0,LC_MSMS_POS,237.0,0,75.068414,C3H9NO,59.0731,58.0653,76.0756,59.0789,58.0709,76.0388,,,,,,,,,,
28838,2164001,1145,1145 (trimethylamine oxide),76.0756,[M+H]+,0.6,,,0,1,0,LC_MSMS_POS,237.0,0,75.068414,C3H9NO,59.0731,58.0653,76.0756,59.0789,58.0709,76.0388,,,,,,,,,,
28839,2164002,1145,1145 (trimethylamine oxide),76.0756,[M+H]+,0.6,,,0,1,0,LC_MSMS_POS,237.0,0,75.068414,C3H9NO,59.0731,58.0653,76.0756,59.0789,58.0709,76.0388,,,,,,,,,,
28840,2164003,1145,1145 (trimethylamine oxide),76.0756,[M+H]+,0.6,,,0,1,0,LC_MSMS_POS,237.0,0,75.068414,C3H9NO,59.0731,58.0653,76.0756,59.0789,58.0709,76.0388,,,,,,,,,,
28841,2164004,1145,1145 (trimethylamine oxide),76.0756,[M+H]+,0.6,,,0,1,0,LC_MSMS_POS,237.0,0,75.068414,C3H9NO,59.0731,58.0653,76.0756,59.0789,58.0709,76.0388,,,,,,,,,,
28920,2164083,84290,84290 (N-Octanoylglycine),202.1436,[M+H]+,10.67,,,0,1,0,LC_MSMS_POS,237.0,0,201.136493,C10H19NO3,76.0393,57.0701,127.1118,109.1012,128.1152,67.0543,127.1321,95.0995,87.0236,65.4487,110.1045,202.1437,84.9596,156.139,57.0766,193.7944
28921,2164084,84290,84290 (N-Octanoylglycine),202.1436,[M+H]+,10.67,,,0,1,0,LC_MSMS_POS,237.0,0,201.136493,C10H19NO3,76.0393,57.0701,127.1118,109.1012,128.1152,67.0543,127.1321,95.0995,87.0236,65.4487,110.1045,202.1437,84.9596,156.139,57.0766,193.7944
29120,2164283,1145,1145 (trimethylamine oxide),76.0756,[M+H]+,0.6,,,0,1,0,LC_MSMS_POS,237.0,0,75.068414,C3H9NO,59.0731,58.0653,76.0756,59.0789,58.0709,76.0388,,,,,,,,,,
29121,2164284,1145,1145 (trimethylamine oxide),76.0756,[M+H]+,0.6,,,0,1,0,LC_MSMS_POS,237.0,0,75.068414,C3H9NO,59.0731,58.0653,76.0756,59.0789,58.0709,76.0388,,,,,,,,,,
29122,2164285,1145,1145 (trimethylamine oxide),76.0756,[M+H]+,0.6,,,0,1,0,LC_MSMS_POS,237.0,0,75.068414,C3H9NO,59.0731,58.0653,76.0756,59.0789,58.0709,76.0388,,,,,,,,,,
29123,2164286,1145,1145 (trimethylamine oxide),76.0756,[M+H]+,0.6,,,0,1,0,LC_MSMS_POS,237.0,0,75.068414,C3H9NO,59.0731,58.0653,76.0756,59.0789,58.0709,76.0388,,,,,,,,,,
29124,2164287,1145,1145 (trimethylamine oxide),76.0756,[M+H]+,0.6,,,0,1,0,LC_MSMS_POS,237.0,0,75.068414,C3H9NO,59.0731,58.0653,76.0756,59.0789,58.0709,76.0388,,,,,,,,,,
29125,2164288,1145,1145 (trimethylamine oxide),76.0756,[M+H]+,0.6,,,0,1,0,LC_MSMS_POS,237.0,0,75.068414,C3H9NO,59.0731,58.0653,76.0756,59.0789,58.0709,76.0388,,,,,,,,,,
29199,2164362,84290,84290 (N-Octanoylglycine),202.1436,[M+H]+,10.67,,,0,1,0,LC_MSMS_POS,237.0,0,201.136493,C10H19NO3,76.0393,57.0701,127.1118,109.1012,128.1152,67.0543,127.1321,95.0995,87.0236,65.4487,110.1045,202.1437,84.9596,156.139,57.0766,193.7944
29200,2164363,84290,84290 (N-Octanoylglycine),202.1436,[M+H]+,10.67,,,0,1,0,LC_MSMS_POS,237.0,0,201.136493,C10H19NO3,76.0393,57.0701,127.1118,109.1012,128.1152,67.0543,127.1321,95.0995,87.0236,65.4487,110.1045,202.1437,84.9596,156.139,57.0766,193.7944
