,position,name,ms_level,polarity,retention_time,height,mz,neutral_mass,adducts,p_value,quantitation_mass,10_25_2016_islet_OA_12.mzXML retention_time,10_25_2016_islet_OA_12.mzXML height,10_25_2016_islet_OA_12.mzXML mz,10_25_2016_islet_OB_13.mzXML retention_time,10_25_2016_islet_OB_13.mzXML height,10_25_2016_islet_OB_13.mzXML mz,10_25_2016_islet_OC_14.mzXML retention_time,10_25_2016_islet_OC_14.mzXML height,10_25_2016_islet_OC_14.mzXML mz,10_25_2016_islet_OD_15.mzXML retention_time,10_25_2016_islet_OD_15.mzXML height,10_25_2016_islet_OD_15.mzXML mz,10_25_2016_islet_OHA_16.mzXML retention_time,10_25_2016_islet_OHA_16.mzXML height,10_25_2016_islet_OHA_16.mzXML mz,10_25_2016_islet_OHB_17.mzXML retention_time,10_25_2016_islet_OHB_17.mzXML height,10_25_2016_islet_OHB_17.mzXML mz,10_25_2016_islet_OHC_18.mzXML retention_time,10_25_2016_islet_OHC_18.mzXML height,10_25_2016_islet_OHC_18.mzXML mz,10_25_2016_islet_OHD_19.mzXML retention_time,10_25_2016_islet_OHD_19.mzXML height,10_25_2016_islet_OHD_19.mzXML mz,10_25_2016_islet_OHE_20.mzXML retention_time,10_25_2016_islet_OHE_20.mzXML height,10_25_2016_islet_OHE_20.mzXML mz,10_25_2016_islet_YA_1.mzXML retention_time,10_25_2016_islet_YA_1.mzXML height,10_25_2016_islet_YA_1.mzXML mz,10_25_2016_islet_YB_2.mzXML retention_time,10_25_2016_islet_YB_2.mzXML height,10_25_2016_islet_YB_2.mzXML mz,10_25_2016_islet_YC_3.mzXML retention_time,10_25_2016_islet_YC_3.mzXML height,10_25_2016_islet_YC_3.mzXML mz,10_25_2016_islet_YD_4.mzXML retention_time,10_25_2016_islet_YD_4.mzXML height,10_25_2016_islet_YD_4.mzXML mz,10_25_2016_islet_YE_5.mzXML retention_time,10_25_2016_islet_YE_5.mzXML height,10_25_2016_islet_YE_5.mzXML mz,10_25_2016_islet_YHA_6.mzXML retention_time,10_25_2016_islet_YHA_6.mzXML height,10_25_2016_islet_YHA_6.mzXML mz,10_25_2016_islet_YHB_7.mzXML retention_time,10_25_2016_islet_YHB_7.mzXML height,10_25_2016_islet_YHB_7.mzXML mz,10_25_2016_islet_YHC_8.mzXML retention_time,10_25_2016_islet_YHC_8.mzXML height,10_25_2016_islet_YHC_8.mzXML mz,10_25_2016_islet_YHD_9.mzXML retention_time,10_25_2016_islet_YHD_9.mzXML height,10_25_2016_islet_YHD_9.mzXML mz,10_25_2016_islet_YHE_10.mzXML retention_time,10_25_2016_islet_YHE_10.mzXML height,10_25_2016_islet_YHE_10.mzXML mz,10_25_2016_islet_YHF_11.mzXML retention_time,10_25_2016_islet_YHF_11.mzXML height,10_25_2016_islet_YHF_11.mzXML mz,VIP
240,241,#241 111.0700@24.9600 MS1+,1,+,24.96,7960.081138709886,111.07,,,0.7015555153986115,111.07,24.99116666666667,7838.444791666667,111.08,25.14133333333333,5109.15632217209,111.04,,,,25.04133333333333,7918.530667760961,111.07,24.828666666666667,7621.9365234375,111.04,25.0975,6337.941571331256,111.04,24.6345,10524.16363141494,111.07,24.597166666666663,14341.3203125,111.08,24.96,7960.081138709886,111.07,24.72233333333333,11388.720790554407,111.09,24.58483333333333,6780.9270100941685,111.08,24.92233333333333,7626.859045167606,111.07,24.935,5747.8473273386735,111.04,,,,25.39783333333333,6352.090000197644,111.07,24.684833333333334,6071.54942513859,112.06,25.404166666666665,3517.5920717708977,111.07,,,,,,,24.65983333333333,8709.792880105018,111.07,1.5930780178277
63,64,#64 115.0400@13.4563 MS1+,1,+,13.456333333333331,14356.2587890625,115.04,,,0.0020384698261023,132.003,,,,,,,13.4438,21002.17471913471,115.06,13.456333333333331,14356.2587890625,115.04,13.443816666666669,113714.296875,233.09,,,,13.44995,82671.5703125,115.04,13.443766666666669,111764.75,233.09,,,,13.462533333333331,8219.314060548302,115.02,13.45015,16608.153523894416,115.01,13.443733333333334,19911.521484375,115.05,,,,13.4437,11964.55045997242,115.01,13.450066666666666,72968.2109375,115.06,13.45005,109420.5703125,115.05,13.4501,73636.9375,115.04,13.450116666666666,78683.0546875,115.04,,,,13.450116666666666,85374.53214786734,233.09,1.6028878922871028
132,133,#133 111.0800@18.5982 MS1+,1,+,18.598166666666668,37263.052422467386,111.08,,,0.5534155429194338,111.08,18.63566666666667,19031.8038532152,111.08,18.63566666666667,28162.528532137192,111.08,18.598166666666668,37263.052422467386,111.08,18.642,28183.932858453467,111.07,18.6045,26524.74092430976,111.08,18.617,29992.05045933113,111.08,18.62316666666667,23211.031849617146,111.07,18.62316666666667,29660.49257903136,111.08,18.62316666666667,27583.46873132707,111.07,18.861,20613.59198075948,111.07,18.62333333333333,27278.059254611933,111.08,18.610666666666667,22664.58234153165,111.09,18.642166666666665,27711.748046875,111.08,18.63566666666667,19833.66013472189,111.08,18.842166666666667,8510.012562595086,111.09,18.8735,19584.81684128848,111.08,18.610833333333336,29806.016108141128,111.07,18.861,17662.433536240096,111.08,18.62333333333333,21726.90528517599,111.08,18.6295,33265.75965229284,111.07,1.619364115347363
94,95,#95 383.1200@24.1217 MS1+,1,+,24.121666666666663,20908.372024095537,383.12,,,0.6960170764137075,383.1192857142857,24.0655,40555.667746471765,383.12,,,,24.19683333333333,9890.663895974569,383.12,,,,24.209333333333333,8320.992791847182,383.12,,,,23.9965,22426.0995645838,383.11,23.996666666666663,43632.3151694577,383.13,24.121666666666663,20908.372024095537,383.12,24.084166666666665,40806.35300896869,383.12,23.7215,509066.4362017652,383.12,24.153,16959.974418920006,383.12,24.0405,14163.98131636047,383.12,24.034,64174.48808651093,383.12,24.0655,48093.4921875,383.12,,,,24.1655,9397.157492720453,383.11,,,,,,,23.978,31974.795831731662,383.12,1.6288596734141911
286,287,#287 277.1000@35.5003 MS1+,1,+,35.50033333333333,9463.58764652432,277.1,,,0.0125793415454059,277.09,,,,,,,,,,,,,35.4815,10575.2236328125,277.09,35.5065,11211.505371468838,277.1,35.5315,8090.7646484375,277.09,35.50033333333333,9463.58764652432,277.1,35.48766666666667,6324.694451115265,206.99,,,,,,,,,,,,,,,,,,,35.5065,7744.432831988046,277.09,,,,,,,,,,,,,1.634992852181276
229,230,#230 111.1000@50.7697 MS1+,1,+,50.769666666666666,10893.586010206312,111.1,,,0.429652124397935,206.99181818181816,,,,,,,,,,50.68216666666667,12772.669525086116,111.07,50.71966666666666,11369.908895054134,207.0,50.6195,13832.324171064543,111.04,50.769666666666666,10893.586010206312,111.1,50.74466666666667,9934.1220703125,125.06,50.5945,9212.3138702379,111.07,,,,,,,50.68216666666667,10545.458527316232,125.06,50.582166666666666,8276.260545944639,111.08,50.707,7030.384345107381,111.08,50.63216666666666,12146.999502605717,111.09,50.53833333333333,9497.179439757598,206.99,,,,50.53833333333333,8310.000446753082,111.08,50.71966666666666,9306.273472641496,111.04,50.7635,10411.47664305818,111.07,1.655374414178717
38,39,#39 321.1100@46.2220 MS1+,1,+,46.222,157755.69676558557,321.11,,,0.7634946519570706,321.11,46.35333333333333,59199.964299164974,321.1,46.197,154042.9567781135,321.11,46.38466666666667,55911.87850336166,321.12,46.209500000000006,75253.79861136619,321.1,46.222,157755.69676558557,321.11,46.09066666666667,160215.62315904966,321.12,46.541,46425.86328125,271.15,46.26583333333333,92649.93256216064,321.12,46.20316666666667,119068.5144886966,321.11,46.541,11660.72251856964,321.1,46.16583333333333,80101.44789151603,321.11,46.27833333333333,102976.14557288973,271.18,46.222166666666666,161909.3710499562,321.1,46.22816666666667,97194.87517182196,271.16,46.35966666666666,15061.16109117739,271.17,46.29083333333333,109568.62356194784,321.11,46.441,20859.16783071045,271.15,46.27216666666666,61362.69572491967,321.11,46.07816666666667,154433.38722646423,321.12,46.21583333333333,76086.80942565715,321.11,1.666161206703335
142,143,#143 291.1400@50.8887 MS1+,1,+,50.88866666666667,31601.42424493822,291.14,,,0.8132735773170255,291.1411111111111,,,,50.901,28738.13992895245,291.15,50.92616666666667,17123.72769066735,291.15,,,,,,,50.85716666666666,25643.117146266915,291.15,,,,,,,,,,,,,50.9825,15295.646938986602,291.14,50.8635,68514.58596210131,291.14,50.97616666666667,14060.62906292016,291.13,,,,,,,,,,50.97616666666667,18185.349609375,291.13,,,,50.90116666666667,14633.039173954268,291.14,50.88866666666667,31601.42424493822,291.14,1.6769806402370977
43,44,#44 321.1100@46.1908 MS1+,1,+,46.19083333333333,212208.1715226412,321.11,,,0.7169485309090742,321.11,46.32216666666667,106172.14099089848,271.17,46.09066666666667,215551.13261410524,321.11,46.42216666666666,39181.20365994924,321.12,46.43483333333334,24398.85652589941,271.16,46.31583333333333,92968.93369599502,321.11,46.24083333333333,41668.12063385898,321.12,46.45966666666666,20097.64835274894,271.17,46.19083333333333,59230.39435087028,321.12,46.272000000000006,36360.19804073824,321.11,46.36583333333333,16542.189242306584,271.15,46.25966666666667,66452.50639373995,321.11,46.17816666666667,236607.3903020299,271.18,46.159666666666666,162757.44581799945,321.1,46.38466666666667,72195.97020385817,321.09,46.197,78333.45364334663,271.17,46.1845,126754.90885213295,321.11,46.341,38504.19627329713,321.11,46.122,105732.2002698374,321.11,46.17833333333333,46045.72023826034,321.12,46.19083333333333,212208.1715226412,321.11,1.6912319511179075
131,132,#132 213.1300@24.7347 MS1+,1,+,24.734666666666666,19221.60178698715,213.13,,,0.7850759226270656,213.1308333333333,24.734666666666666,19221.60178698715,213.13,,,,24.7285,27557.491327095777,213.13,,,,24.7285,37279.3045197829,213.13,,,,24.772166666666667,15663.7710232862,213.14,24.8035,6257.787615780819,213.15,24.734666666666666,21968.1488305948,213.13,,,,,,,24.734666666666666,37529.84375,213.12,24.816166666666668,10368.31304874462,111.04,24.747166666666665,10342.978192154056,213.12,24.766,10756.847925094577,213.14,24.7285,14719.975098988303,213.13,24.716,10108.474103877794,213.11,24.753666666666668,27971.087890625,213.11,24.72233333333333,17910.09777479447,213.14,24.753666666666668,17758.194836510127,213.14,1.7392092516857498
67,68,#68 100.0300@18.1917 MS1+,1,+,18.191666666666663,72315.1484375,100.03,,,0.6480879415252072,100.03,18.44183333333333,20884.20813181592,100.03,18.216666666666665,49868.58392832655,100.03,18.12283333333333,84208.83339021268,100.03,18.248,28943.029518196687,185.03,18.141666666666666,90704.2948187544,100.03,18.13533333333333,104837.439427369,100.03,18.18533333333333,57075.87374547559,100.03,18.191666666666663,72315.1484375,100.03,18.14783333333333,18929.327056483555,100.03,18.229166666666668,50162.871097052055,100.03,18.204166666666666,37104.09440303869,100.02,18.235333333333333,65911.38969117854,100.03,18.4045,22550.88800043309,100.03,18.18533333333333,45148.61018851004,100.03,18.485666666666667,16271.64013445115,100.03,18.191666666666663,54811.04766302642,100.03,18.14783333333333,76338.50148028144,100.03,18.229166666666668,51509.38394499305,100.03,18.198,46913.09037383548,100.03,18.148000000000003,84900.14359847673,100.03,1.7435150260502765
175,176,#176 321.1200@47.4357 MS1+,1,+,47.43566666666666,16008.758587860792,321.12,,,0.694233864800023,321.11125000000004,,,,,,,,,,,,,47.567,20526.00583465765,321.11,,,,47.27283333333333,8879.018350799386,321.11,47.8985,11589.20473307933,321.12,,,,,,,47.52333333333333,12595.89110094002,321.09,47.886,10218.262361309862,321.11,47.8485,11178.163972860635,321.1,,,,,,,47.6295,20583.94525833809,321.11,,,,47.448166666666665,7746.052430935471,125.07,47.43566666666666,16008.758587860792,321.12,47.36066666666667,11303.983275667031,321.09,1.7811578028488864
197,198,#198 111.0400@47.7045 MS1+,1,+,47.7045,9905.18555672598,111.04,,,0.3497275434697342,125.096,47.748333333333335,7526.419474944265,111.08,47.7045,9905.18555672598,111.04,47.86716666666667,10687.35478054476,125.06,47.52316666666666,8843.727851436051,111.1,47.6545,11413.11412926907,111.08,47.685833333333335,8108.184166251561,125.1,47.54183333333334,10287.098133564998,125.09,,,,,,,47.542,6847.508571982631,111.07,,,,47.510666666666665,8741.459688177827,111.07,47.94866666666667,6374.798971584057,125.09,47.72316666666666,10595.6025390625,111.04,47.43566666666666,10117.2548828125,111.09,47.298,18244.356133647867,125.09,47.74216666666667,11554.199928091546,125.07,47.85483333333333,10353.78125,125.07,47.52316666666666,14483.98788363468,125.1,47.52316666666666,14987.7138671875,125.1,1.7851789900271546
252,253,#253 125.0900@47.6545 MS1+,1,+,47.6545,10823.280883644553,125.09,,,0.5747052332676217,206.9933333333333,47.90466666666667,9537.259765625,125.08,47.74216666666667,16031.2314453125,125.06,47.310500000000005,10757.037003460791,125.09,,,,47.323,11658.03195015196,125.06,47.7295,10828.844601852255,125.1,,,,,,,,,,47.51683333333334,7946.761525860755,125.08,47.16666666666666,8656.494450897524,125.1,47.84216666666667,14530.2744140625,125.06,,,,47.767,10574.8759765625,125.09,47.961,5515.7079238140805,125.04,,,,47.6545,10823.280883644553,125.09,,,,47.5795,9045.64036867259,125.06,,,,1.8350817048430523
343,344,#344 207.0000@29.0260 MS1+,1,+,29.026,4750.980122928321,207.0,,,0.6777332929762658,206.99428571428567,,,,,,,29.0635,3643.276841396302,206.99,,,,,,,29.069666666666667,4676.300522702111,207.0,,,,29.0885,5146.609375,207.0,,,,28.775666666666663,4777.577499564495,206.95,29.026,4750.980122928321,207.0,29.3825,4570.494140625,207.04,29.1325,2176.619790086723,206.99,,,,,,,,,,,,,28.550666666666665,3505.16289033774,206.99,28.72583333333333,4970.24462890625,206.99,,,,1.8781801837598544
194,195,#195 207.0000@52.2773 MS1+,1,+,52.27733333333333,14330.66322467781,207.0,,,0.770464755956895,331.01899999999995,52.13966666666667,17180.15234375,207.02,51.902,17568.166015625,207.04,52.27733333333333,7917.716112259477,206.99,52.42116666666666,15066.139508488355,206.98,52.27733333333333,14330.66322467781,207.0,52.221,18414.98046875,207.0,52.214666666666666,10781.686993934833,206.98,52.077,16507.92578125,207.0,52.42733333333333,12946.671636602954,207.02,52.23966666666667,18734.998046875,207.04,52.22733333333333,12894.37499622694,207.0,52.583666666666666,13600.87348216872,207.04,,,,52.45233333333333,6644.518747343369,206.99,52.44616666666666,11360.00733920871,207.03,52.44616666666666,13592.382673549211,206.99,51.83316666666666,16303.5341796875,206.99,52.396166666666666,15489.80859375,207.04,52.333666666666666,8374.798491645703,206.99,,,,1.9331875247306876
85,86,#86 432.1800@32.7855 MS1+,1,+,32.7855,33466.04841510121,432.18,,,0.754539664229833,432.1781818181818,32.81666666666667,46238.47265625,432.17,32.7855,33466.04841510121,432.18,32.791666666666664,46986.08206768623,432.18,,,,,,,,,,32.77916666666667,14967.85593154157,432.17,32.748000000000005,63902.703125,147.03,,,,32.829166666666666,32848.9609375,432.18,32.779333333333334,71992.1953125,432.19,32.77916666666667,70139.1875,432.18,32.80433333333333,21506.17540032628,432.18,32.829166666666666,45241.27734375,432.18,,,,,,,32.76683333333333,57914.10546875,147.02,,,,,,,,,,1.9362860203295131
267,268,#268 111.0800@24.3783 MS1+,1,+,24.37833333333333,7564.823545187819,111.08,,,0.1773244636167487,147.0288888888889,,,,24.390666666666668,9147.566347692877,111.08,,,,,,,,,,24.1405,8209.869634261768,111.08,,,,,,,,,,,,,24.37833333333333,7564.823545187819,111.08,24.415666666666667,7718.245945716635,111.07,,,,,,,24.397,6418.696331724745,383.12,24.365666666666662,5850.740589899807,147.03,24.41583333333333,7930.47705078125,111.03,24.25316666666667,4013.551346696689,111.04,24.390833333333333,5680.199152116791,111.08,24.372,4849.202295097246,147.03,1.9527688809280002
