I-1.mzXML height,I-10.mzXML height,I-11.mzXML height,I-12.mzXML height,I-13.mzXML height,I-14.mzXML height,I-15.mzXML height,I-16.mzXML height,I-17.mzXML height,I-18.mzXML height,I-19.mzXML height,I-2.mzXML height,I-20.mzXML height,I-21.mzXML height,I-22.mzXML height,I-3.mzXML height,I-4.mzXML height,I-5.mzXML height,I-6.mzXML height,I-7.mzXML height,I-8.mzXML height,I-9.mzXML height,J-67.mzXML height,J-68.mzXML height,J-69.mzXML height,J-70.mzXML height,J-71.mzXML height,J-72.mzXML height,J-73.mzXML height,J-74.mzXML height,J-75.mzXML height,J-76.mzXML height,J-77.mzXML height,J-78.mzXML height,J-79.mzXML height,J-80.mzXML height,J-81.mzXML height,J-82.mzXML height,J-83.mzXML height,J-84.mzXML height,J-85.mzXML height,J-86.mzXML height,J-87.mzXML height,J-88.mzXML height,Li-23.mzXML height,Li-24.mzXML height,Li-25.mzXML height,Li-26.mzXML height,Li-27.mzXML height,Li-28.mzXML height,Li-29.mzXML height,Li-30.mzXML height,Li-31.mzXML height,Li-32.mzXML height,Li-33.mzXML height,Li-34.mzXML height,Li-35.mzXML height,Li-36.mzXML height,Li-37.mzXML height,Li-38.mzXML height,Li-39.mzXML height,Li-40.mzXML height,Li-41.mzXML height,Li-42.mzXML height,Li-43.mzXML height,Li-44.mzXML height,Lu-101.mzXML height,Lu-102.mzXML height,Lu-103.mzXML height,Lu-104.mzXML height,Lu-105.mzXML height,Lu-106.mzXML height,Lu-107.mzXML height,Lu-108.mzXML height,Lu-109.mzXML height,Lu-110.mzXML height,Lu-89.mzXML height,Lu-90.mzXML height,Lu-91.mzXML height,Lu-92.mzXML height,Lu-93.mzXML height,Lu-94.mzXML height,Lu-95-rerun2.mzXML height,Lu-96.mzXML height,Lu-97.mzXML height,Lu-98.mzXML height,Lu-99.mzXML height,M-45.mzXML height,M-46.mzXML height,M-47.mzXML height,M-48.mzXML height,M-49.mzXML height,M-50.mzXML height,M-51.mzXML height,M-52.mzXML height,M-53.mzXML height,M-54.mzXML height,M-55.mzXML height,M-56.mzXML height,M-57.mzXML height,M-58.mzXML height,M-59.mzXML height,M-60.mzXML height,M-61.mzXML height,M-62.mzXML height,M-63.mzXML height,M-64.mzXML height,M-65.mzXML height,M-66.mzXML height
8241157.032,7699390.815,8388096,8388096,8388096,8070721.712,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,7232139.537,8388096,8388096,8388096,8388096,8388096,8388096,8388096,,,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,5843781.235,8388096,8388096,7777856.897,8388096,8388096,8388096,5513648.5,8388096,7687321.12,7307285.5,,6639654.5,8388096,2923130.153,8240602.325,8388096,8388096,7640533,8388096,7895979.878,,8004209,8388096,3292045.25,8388096,6805590.275,6750959.209,8388096,8388096,8388096,8388096,8388096,8388096,4721295.405,8388096,8388096,1493745.605,,8388096,1249543.974,8388096,8388096,5577835.5,8388096,8388096,6322346.425,8388096,7396061,8388096,8388096,8388096,,8388096,,412465.4519,8388096,5394284.172,7128789.802,7335297,5572979.5,5455896,8388096,,8388096
556449.3125,,8388096,2490609.498,6609602,,8388096,6749139,6744721.849,8388096,8388096,819906.1986,4200465,2751201.75,4223856.816,994698.125,1462811.625,2239221.075,,3721540,2013303.5,,1957113.605,1942740.63,664626.9726,2018872.708,4864107,2766398.808,,8388096,7327603.912,,7930569,5393983.673,4016512.75,7306482.5,3821173.75,3307486.75,4274401.15,8388096,4732430.5,5411223.202,5924786.425,7368958,990882.9215,695180.5,606418.75,551203.3439,955452.5625,339951.8727,1013389.813,682659.1438,1784876,1060858.503,1212111.045,,1917502.205,1276379.125,,,,1797291.25,1547476.5,1642695.933,1269897.5,1313255.926,3894340,4283847.433,3803027,5164349.848,4158408.25,,4027241.25,8388096,8372145,3404260.5,637619.8143,5480279,1893757.031,1742270.734,8300409.341,464700.99,6134458,3439445.237,,2121391.35,,,,,,,183993.625,,247192.5786,89503.3066,,,,,145036.848,269085.9063,291322.0126,246597.4772,,314876.591,314346.1465,,
3916422.506,6870350,6252502.5,5127869,6322559,,8388096,6536529.5,8388096,7834473,8388096,3743085.25,3642493.676,4908241.5,5980995.633,3799865.75,7591073,6221649.5,6862053.5,8388096,7055655,6119496.5,5685813,7608818,4814144.672,4913944,4539536.665,4944699.5,5863011.476,8388096,8388096,5737071,5090175,3519707.25,3713928,8388096,2231526,4459764.5,8388096,6459531,4276419.5,5749183,5517901.647,3480553.75,5158378.249,8388096,8388096,5204757.5,8388096,4613081.784,8388096,999346.2466,,,8156187,4451049.5,6611546.5,,3026201.25,6458478.5,5882645,8388096,8187412.5,8226940.035,8388096,6079908.102,3407891,8388096,2077584.625,,3130300.75,3489079,3561460,7525611,3852806.75,3629461.5,4737993.5,4887105.5,3069616.5,2501590.25,6708846.5,,3478543.75,7439439.5,,8388096,4040013.484,4576001,6049423.5,6218228.5,4084140.766,5600943.5,3771518,4201851,8388096,6934616,8388096,7023776.5,7124685.5,7138503.5,8388096,3110022,7119392.5,4658639.5,7185137,5914939,8388096,,4779264.892
,,3106663.25,2561806,3288541,3561607.25,5834590.605,4423173.522,,3933489,4418998,3091005,2511922.25,,2735228.753,,2790276.169,,,4212439.956,2280977.25,3810563.741,6415457.5,,2476190.25,2679882.25,1892377.375,3339848.015,7719279.148,4771892,6170968.682,,4294528,8388096,2925504.775,,3142834.132,,5627337,5544943.5,4849411.47,1676796.75,1980200.25,1923749.472,3524033.5,5435601.208,5506627.932,7659944.983,4531118.293,4793664.241,8388096,3761088.5,8388096,6971569.194,5394109,6493436.799,5781251.5,5580964.469,,7325811.219,8388096,6853871,4708420.394,6888591.162,8279191.094,5953504.556,2613345,3351889,2097670.898,,2194450.148,5214805,5385803.569,5708338.895,6185446.039,4401836.589,6894274.946,2681215.494,,,4041906.976,8388096,5476760.912,2022122.125,,4102998,,1358108.306,,5432340.599,1438609.75,1543552.876,,2433252.465,,1531860.247,,6864672.672,2870135.28,6456964.578,4172778.951,,6106428.608,,6429711.25,6301101.508,3142348.99,,6591415.54
,,3654426.25,2069360.75,5432867.334,3499806.5,4851146,3242689.439,3782883.25,3384495.25,4129023.25,1017238.938,1559661.375,3720153.25,,1830087.125,1212863,,1272648.5,5761918.5,6489059.5,6203578,4141465.416,4979823.5,5441090.544,5576142,2274545.289,,3080940.395,1307434.375,5265599.662,450909.2188,2441329.5,8388096,1383477.13,5691168,2542475.75,7296207.5,4588577.078,5524964.5,8388096,6353775.5,,,,,,,966810.6875,311831,835755.125,245481.0615,816698.0625,,241709.8755,889014.25,,,,648722.9375,332766.375,462389.7188,,403742.6607,237885.6875,,4030939.5,3188471.5,3079957,,1610320.625,3816230.75,2866307.5,3020319.25,3759310.75,4957840.718,,2568184.5,3763188,5517018.5,2003940.46,,1805717.25,4657897.5,,4036233,,3062881.5,8388096,8388096,8388096,,8388096,5850456,8295016.988,7763735,8135430,8388096,4288866.5,7648214.628,8388096,3672531.5,8388096,8388096,6552523.5,5368714.206,,,8135207.478
1469754.324,1812045.75,,631621.7185,955387.8301,,1869854.04,2538617,3572019.25,,507823.5625,2680359,2605924.25,3791889.461,1637945.911,2873113.25,3469062.498,2752072.25,1317664.77,,901427,4077943.5,1497535.974,2003038.846,2408981.005,1020672.445,,,1849259.625,,5006460,141932.6891,4407183.5,3052074.75,3394970.5,2622124.25,2369191.25,2414845.75,4532143.5,3923033.5,6836574,2926911.25,5176537.5,3723457.75,8388096,3447490.422,1433236.75,1886385.155,1306082,1703983.016,2473084.442,581283.6542,4157315.475,709732.8125,730436.8125,,767753.1875,745968.5,2086207.885,720978.375,963810.5,4267158,,1056547.967,3162880.932,665211.1249,6142313.04,3833774.302,3764432.75,,6493122,5244984,8257700.598,8388096,7026980.689,7011946.5,1148755.662,3460429.75,3298720.5,6586892.5,5091672,864591.3104,7150411,8388096,,8322119.169,6490723.194,,683519.8125,,,396379.1875,557216.0625,,,,,412939.0789,,,,358058.4803,161282.3853,,438976.2671,425755.6523,,,644300.2157
5891017,383696.8125,471266.0938,,,,,,,104847.9692,,4531868.16,,,,2060334,4034365.25,1669340.875,,1688967.918,869979.8125,805873.9228,1193113.375,6322273.5,3118130.5,2526583.25,890497,,,,749826.1883,,242388.7392,396081.8917,73822.82781,,,,,,,,,,8388096,8388096,8388096,8244162.323,4635238.298,4266427.835,3184732.587,925765.6122,4687620.5,1499411,,428899.564,934989.4375,,208509.9063,466960.5903,,,,,,,,,,1731121.5,,,,,,,,,,,,,,,,,,756116.5638,586950.3125,,753575.3125,212943.4951,479968.6036,,,,,,,,,,,,,,,,
1103317.936,3056165.5,3101235.5,1851371.625,2299740.5,1051997.875,3412691,2578377.25,3595753,3812316,2135866.5,1378026.875,1745358.25,1996430.25,1371677.526,,2222555.971,1223125.567,718416.5625,,,2361443,2301564.75,1955419.085,675876.8393,1168311.687,,,2347754,2753910.733,3968566.5,,,,455974.3155,911885.0633,746022.8999,,3083237.75,,1552005.875,1242713.75,,,1276163.862,8388096,7668387,8388096,5697121.5,6212535,8219452.5,8388096,8388096,5068245,5816671,5487439.207,6717075.38,4768629.5,3752323.5,8082850.696,7256442,5667129.504,8388096,8388096,8388096,8388096,1499577.125,1980308.875,1516621.625,435598.1971,1315484.79,1718281.375,1408592.125,2141495.5,,2214689,5465884.023,1641419.125,594550.2718,1086259.013,1692224.882,356161.3438,2301987.395,1997553.875,,,1811282.375,1291661.25,1304267.361,1351982.25,1234854.125,918792,1051321.375,746112.8125,1859566.815,1011068.25,968277.7917,1617585.875,1672790.002,,1368133.875,832034.8947,1669597.25,1195293.875,1895027,624623.0194,1834687.972,,1706982.75
218328.6737,,290458.9567,,,,,309099.75,,251803.8577,,173754.9362,,,,,,,,231587.076,277745.2188,191321.7916,1146113.625,1250450.037,726721.5595,453617.5625,473740.7687,906314.75,425927.3359,386280.5822,284119.0933,,311875.7813,802645.6875,152879.9977,,,,519387.6875,,514079.5274,,185248.0615,309257.5251,,8388096,3883392.749,5798523.5,2449487.5,5190184.125,2541672,1295575.016,7936216.72,431674.3964,6960526,3284020.75,8388096,2003549.113,3982166.435,6225711,6185999.519,4228753,8388096,4338101,6118410.5,4780473.529,198209.0059,373562.7386,,489737.2074,,,646125.2348,260693.4781,187770.9531,,2236246.75,,,,,,,,,,271304.4771,195482.4741,,,,,,,,,,,,,,,,,,,,,
,,428336.1145,519670.1875,702281.875,396439.8438,334186.0642,743781.3179,790347.75,848309.625,681139.5593,337885.8438,511289.2188,515177.8125,324105.1875,310245.0625,425808.1563,367417.0313,,573380.875,,476532.75,691489.375,1592184.125,665499.9326,756888.3125,845232.4513,1045324,872728.375,519857.7813,601478.9678,,336754.8767,1006172.25,230465.3125,603551.875,452594.2813,446130.0625,952729.25,625502.3125,681195.0331,,366667.75,,599294,8388096,,6463531.754,4483739,6949453.5,2810199.75,2215753.5,7935993.903,,,3881860.75,7611118.5,6500548,2652879.873,5611549.283,,8388096,8318300.5,6126743.455,5904980.369,4973541.5,285077.5938,333907.4688,424169.6563,,216444.9063,301994.625,314419.2222,476977.1896,632964.1033,,5257205.974,337409.5153,286889.1875,289544.3125,371406.9628,,,,,348384.5836,,298025.1563,1599233.625,716811.3313,309967.9291,,634899.125,383452.8045,,580563.8702,1155506.75,479517.6847,504991.1875,457015.2613,427261.0519,267189.9678,,,536296.5,444541.0435,339898.3483,,393279.25
3388081,4855903.937,5354180,3741757.25,4516836.816,3667384.413,5972377,5024224.5,4908990.5,5884893.404,5976123.5,5235229.571,5396739.5,3830822.5,3939678.14,4305206,4913388,3878340.5,3584395.628,5312039.637,4731274,5236953.5,7472975.928,8039414.5,5076982.395,6941431.5,6916612,7444655.5,5859205.5,6176300.364,6792566.5,5418071,4577293,5050282,6227166,5945366.5,4835444.5,5929849.5,6135398.401,6081310,6644365,5385700,5562743,4361708.435,5668752.197,8388096,8235257.35,7856424.681,6995173.5,7079823,8388096,5837728.5,8388096,7571868.5,7449271.333,5885369.031,7492653,8114620.045,7286675,4771280.587,7428387.47,5197696.5,8388096,6441233,8130370.5,7733216,6861112,6713790,5035205.5,8388096,7566156,5910167,6914334.5,7403416.5,6261578,4112342.094,4253408.5,4721136.151,4427842.5,3760487.499,6338383.5,1137845.75,8388096,3776982,,4519280.494,4508137.729,5216967,6083890.534,5503126.5,5222069.5,5278523.5,4756731,4964962,4069469.25,4091155,4029714.5,4138683.322,4563762.621,3175744.5,4297466.5,3751797.75,4238179.5,3333187.665,3583927,5231887.5,3478231.675,43787.09563,3810249.5
3205774,5866317,1788374.25,6144006,4711900.5,7033700,7738759.5,1693377.625,5704881.5,2497825,5758335.236,1873667.362,3349069.75,5591848,4763585.5,5823326,1566600.403,887241.5625,4837376.5,2631792.618,1158718.666,2363336.927,7087081,4947608.272,4462710,3012547.75,2634137.75,2408541.75,6856294,8180221,1118755.769,3851903.25,1323629.018,2234129.066,1224583.022,5675718.5,908284.8125,4162308.5,2495413.481,2179965.945,6776924,3471165.809,1694371.202,4985054.5,6739649,7723508,6093430,2735064.589,8008937,4467487,8388096,7073500,3846352.75,8388096,2303380.293,6684684,3335147.5,7116840.5,1185672.25,7671336,2268550.25,2520435.5,8199388,6932476.5,2668627.25,6647218.5,1264325.75,6299967.5,1081832.875,3545574.505,,647336.9375,6434562.5,3392861.25,973236,6025532.279,2806370.785,2328836.75,2759833.265,1472071.375,3726864.517,621397.1875,8388096,5593066.5,,6093225.5,2055000.125,4487290.5,3371460,4095707.99,2623940.25,3454217.422,2582104.226,4173427.107,4060664.565,,6922438.142,,3941333,2173276.25,,,5356014.5,,,5026539,,,5315023
,,,319134.7895,225821.7904,328488.25,411067.9684,624836,261044.1901,,165163.9844,,569329.0425,251818.7813,1076194.075,256449,,286601.2188,1180971.874,570334.3125,179054.3438,,374838.2692,,531726.7447,295358.358,,,145856.6815,402190.7465,,163199.4657,,116365.8014,313242.7188,882890.8856,321098.0625,,767247,,,378932.625,,140585.2656,,7688550.224,1325501.75,,1031651.875,,750070.8922,,8388096,1110335,5936043.5,1439235.986,4840582.5,8388096,,,,,3539895.5,8102881.5,8388096,1136372.682,,1229449.75,1216251.092,773789.625,728229.6584,580029.1875,691482.4552,580978.0625,,564378.875,,338977.4025,366722.1563,490961.7188,,,197397.1857,446283.75,,,881893.3582,,215986.7813,267149.9313,320281.125,227294.3496,172192.5894,216887.0522,240046.8504,921178.4711,3326841,377807.3125,468902.0938,1246940.5,556832.1875,247863.6563,315569.2746,1005397.088,392980.5653,285640.9956,604999.4375,,340972.625
,,,,,,,,689650.9375,,,,,563757.7599,,,538419.2403,,,752225.6875,,964649.375,,,,,,,,,,,848210.0901,,,,,,892222.1999,758775.4375,732616.2343,402709.7188,957608.9511,416134.5625,1936149.948,,,523003.3125,,,355504.8125,,,,393971.5938,,,,220540.9375,,591305.4964,4794009,881193.2375,,,,1806665.952,8388096,,2764841.25,2258512.5,,3016069,7590532.5,8388096,2930332.679,,1816879.25,150247.2642,1304181.307,2580708.75,,892429.25,4034493.75,,1924043.325,3010117.507,,,,,,,,,,,,,,,,,,,,,,
