Unknown,uInChIKey,Rank,Library,Id,Mass,Lib MW,InLib,MF,Prob(%),Name,CAS,NIST r.n.,InChIKey
#24 103.0000@11.6889 MS1+,,1,replib,12082,569.288,569,-113,915,14.2,"D-Fructose, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, O-methyloxime",56196146,380178,ACDMQGXCXUQPRR-FCDQGJHFSA-N
#25 156.0000@11.2047 MS1+,,1,replib,30959,362.188,362,256,874,89.5,"L-Glutamine, 3TMS derivative",70591285,414648,KQLPBEWWXARCMA-UHFFFAOYSA-N
#27 117.0000@13.4764 MS1+,,1,replib,12144,356.311,356,-133,833,68.7,"Stearic acid, TMS derivative",18748919,79028,DDLPZVTUKLKVQB-UHFFFAOYSA-N
#29 158.0000@8.2589 MS1+,,1,mainlib,183473,275.174,275,165,907,43.4,"Isoleucine, 2TMS derivative",15985010,283837,JQJPJSDLFYVVEY-UHFFFAOYSA-N
#31 218.0000@12.0799 MS1+,,1,replib,38128,397.192,397,388,931,85.2,"L-Tyrosine, 3TMS derivative",51220736,79168,WMWBCQXPKSQMOK-KRWDZBQOSA-N
#32 147.0000@11.6173 MS1+,,1,mainlib,50985,452.227,452,481,970,82.8,"1,5-Anhydroglucitol, 4TMS derivative",82682675,380138,BKZSHWBRUJTUIK-UHFFFAOYSA-N
#33 117.0000@13.3872 MS1+,,1,replib,11921,354.295,354,113,936,61.9,"Oleic Acid, (Z)-, TMS derivative",21556263,141484,GAODWSYPSJBKGB-SEYXRHQNSA-N
#34 147.0000@7.0094 MS1+,,1,mainlib,50352,249.14,249,-119,834,76.8,"Hydroxylamine, 3TMS derivative",21023201,366588,WEFDIXZMPUWSQQ-UHFFFAOYSA-N
#35 87.0000@13.0001 MS1+,,1,replib,12999,200.178,200,-103,939,26.7,"Undecanoic acid, methyl ester",1731868,77566,XPQPWPZFBULGKT-UHFFFAOYSA-N
#36 87.0000@13.8684 MS1+,,1,replib,13002,228.209,228,113,932,26.8,"Tridecanoic acid, methyl ester",1731880,77574,JNDDPBOKWCBQSM-UHFFFAOYSA-N
#38 87.0000@14.6664 MS1+,,1,replib,12999,200.178,200,-107,924,28.1,"Undecanoic acid, methyl ester",1731868,77566,XPQPWPZFBULGKT-UHFFFAOYSA-N
#39 202.0000@13.4112 MS1+,,1,replib,36773,420.208,420,-143,886,41.4,"L-Tryptophan, 3TMS derivative",55429282,17333,JRAGJGVCQZJQIM-SFHVURJKSA-N
#40 142.0000@11.4497 MS1+,,1,replib,28588,420.248,420,540,923,97.4,"L-Ornithine, 4TMS derivative",55556702,141299,PUQPCLIKLCAPHV-UHFFFAOYSA-N
#41 87.0000@15.4060 MS1+,,1,replib,12999,200.178,200,-122,908,28.5,"Undecanoic acid, methyl ester",1731868,77566,XPQPWPZFBULGKT-UHFFFAOYSA-N
#42 130.0000@7.3720 MS1+,,1,mainlib,141901,247.142,247,-107,923,23.3,"N-Methylalanine, 2TMS derivative",127381093,283871,JKAAJKNMMZKACI-UHFFFAOYSA-N
#43 147.0000@10.6834 MS1+,,1,mainlib,290544,341.133,341,172,826,96.8,"Taurine, 3TMS derivative",0,366685,MYBLXZCUTSINIT-UHFFFAOYSA-N
#44 147.0000@9.9308 MS1+,,1,mainlib,51073,424.195,424,237,875,87,"2,3,4-Trihydroxybutyric acid tetrakis(trimethylsilyl) deriv., (, (R*,R*)-)",38191887,352533,IEXXQBIANMZJJP-UHFFFAOYSA-N
#45 87.0000@16.1675 MS1+,,1,replib,12999,200.178,200,-151,896,24.5,"Undecanoic acid, methyl ester",1731868,77566,XPQPWPZFBULGKT-UHFFFAOYSA-N
#46 207.0000@6.2827 MS1+,,1,replib,37234,310.127,310,-138,879,46.6,Methyltris(trimethylsiloxy)silane,17928288,404005,RGMZNZABJYWAEC-UHFFFAOYSA-N
#47 123.0000@6.4341 MS1+,,1,mainlib,130652,180.074,180,285,973,88.3,(4-Chlorobutoxy)trimethylsilane,13617191,503163,UPYSACBOPSZOMB-UHFFFAOYSA-N
#48 147.0000@11.4076 MS1+,,1,replib,12683,480.185,480,362,892,96.1,"Citric acid, 4TMS derivative",14330973,71548,VFGAVMGYDWDESE-UHFFFAOYSA-N
#49 204.0000@8.6852 MS1+,,1,mainlib,233995,321.161,321,587,942,78.1,"Serine, 3TMS derivative",64625178,333286,MBEDINMZZORSJN-NSHDSACASA-N
#50 117.0000@8.8635 MS1+,,1,mainlib,49984,335.177,335,609,934,98.2,"L-Threonine, 3TMS derivative",7537022,333257,GTYBQDCOPQDAPP-NEPJUHHUSA-N
#51 87.0000@17.0357 MS1+,,1,replib,12999,200.178,200,-122,903,36,"Undecanoic acid, methyl ester",1731868,77566,XPQPWPZFBULGKT-UHFFFAOYSA-N
#53 117.0000@8.7481 MS1+,,1,mainlib,56891,230.17,230,177,925,42.6,"7-Methyloctanoic acid, TMS",0,505472,HJUDZHFHAJTCBI-UHFFFAOYSA-N
#54 149.0000@14.7278 MS1+,,1,mainlib,172514,418.308,418,-108,951,18.4,Di-5-nonyl phthalate,94054236,454994,MGOWZWCOHIRWSL-UHFFFAOYSA-N
#55 87.0000@18.1128 MS1+,,1,mainlib,56262,186.162,186,-224,866,29.6,Methyl 8-methyl-nonanoate,-452009,452009,UXZNAWMXEJTQCC-UHFFFAOYSA-N
#56 117.0000@10.5668 MS1+,,1,replib,11929,272.217,272,327,908,92.7,"Dodecanoic acid, TMS derivative",55520951,30839,RHDZBWSXEZTMPK-UHFFFAOYSA-N
#57 218.0000@10.4541 MS1+,,1,replib,38127,309.158,309,512,912,76.8,"L-Phenylalanine, 2TMS derivative",7364514,71547,DWNFNBPPSFIIBG-UHFFFAOYSA-N
#60 105.0000@8.0190 MS1+,,1,mainlib,208169,194.076,194,-136,826,85,"Benzoic Acid, TMS derivative",2078128,496836,VFFKJOXNCSJSAQ-UHFFFAOYSA-N
#64 146.0000@13.6822 MS1+,,1,mainlib,244152,528.182,528,263,904,91.6,"L-Cystine, 4TMS derivative",69688444,333695,QLOSYBGVFCKXGZ-UHFFFAOYSA-N
#65 103.0000@14.9670 MS1+,,1,mainlib,51138,918.432,918,-246,863,15.9,"D-(+)-Turanose, octakis(trimethylsilyl) ether",0,380084,ZQSHHKRTYVNWEC-UHFFFAOYSA-N
#67 103.0000@10.8637 MS1+,,1,replib,12070,512.266,512,-134,910,24.3,"Xylitol, 5TMS",14199725,473304,SUZLPERYXSOGNY-PMOLBWCYSA-N
#69 220.0000@9.9778 MS1+,,1,mainlib,52712,337.138,337,233,893,81.5,"L-Cysteine, 3TMS derivative",7364503,79166,JRLJALOBTPYEJK-NSHDSACASA-N
#70 232.0000@9.7262 MS1+,,1,replib,12616,349.156,349,301,926,91.6,"L-Aspartic acid, 3TMS derivative",55268536,26042,CTMXPIJTHHSEEF-NSHDSACASA-N
#75 117.0000@9.3819 MS1+,,1,replib,11916,244.186,244,-165,827,78.4,"Decanoic acid, TMS derivative",55494150,30804,FGTNBYWFNITQJR-UHFFFAOYSA-N
#76 117.0000@10.0464 MS1+,,1,mainlib,54285,370.272,370,280,869,80.1,"2,4,7,9-Tetramethyl-5-decyne-4,7-diol, 2TMS derivative",-473187,473187,KULKYKKVQOKKFD-UHFFFAOYSA-N
