Unknown,uInChIKey,Rank,Library,Id,Mass,Lib MW,InLib,MF,Prob(%),Name,CAS,NIST r.n.,InChIKey
#13 174.0000@7.6158 MS1+,,1,replib,33559,291.151,291,141,942,63.9,"Glycine, 3TMS derivative",5630820,452907,YVBMCPFZLGEMJT-UHFFFAOYSA-N
#14 103.0000@10.9694 MS1+,,1,replib,12080,569.288,569,-124,920,9,"D-Fructose, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, O-methyloxime",56196146,380174,ACDMQGXCXUQPRR-FCDQGJHFSA-N
#15 116.0000@6.1341 MS1+,,1,mainlib,118506,233.127,233,192,956,30.4,"Alanine, 2TMS derivative",2899447,476603,FRWXSKQFKDEAOY-UHFFFAOYSA-N
#16 147.0000@8.8732 MS1+,,1,replib,12270,438.211,438,-301,842,21.3,"Erythro-Pentonic acid, 2-deoxy-3,4,5-tris-O-(trimethylsilyl)-, trimethylsilyl ester",74742306,62759,YBBDPOSMYVZLKS-UHFFFAOYSA-N
#17 87.0000@7.7648 MS1+,,1,replib,13009,186.162,186,189,950,61.7,"Decanoic acid, methyl ester",110429,53552,YRHYCMZPEVDGFQ-UHFFFAOYSA-N
#18 117.0000@11.8994 MS1+,,1,replib,11923,328.28,328,510,919,90.4,"Palmitic Acid, TMS derivative",55520893,150381,HKNNSWCACQFVIK-UHFFFAOYSA-N
#19 87.0000@9.0741 MS1+,,1,replib,13025,214.193,214,197,972,70.1,"Dodecanoic acid, methyl ester",111820,77568,UQDUPQYQJKYHQI-UHFFFAOYSA-N
#20 87.0000@7.0660 MS1+,,1,replib,12988,172.146,172,144,956,75.5,"Nonanoic acid, methyl ester",1731846,107485,IJXHLVMUNBOGRR-UHFFFAOYSA-N
#21 87.0000@11.3330 MS1+,,1,replib,13002,228.209,228,-100,944,32.7,"Tridecanoic acid, methyl ester",1731880,77574,JNDDPBOKWCBQSM-UHFFFAOYSA-N
#22 117.0000@12.8098 MS1+,,1,replib,22899,356.311,356,408,907,88.7,"Stearic acid, TMS derivative",18748919,472480,DDLPZVTUKLKVQB-UHFFFAOYSA-N
#23 144.0000@6.9563 MS1+,,1,mainlib,164203,261.158,261,125,920,59.3,"L-Norvaline, 2TMS derivative",7364456,12688,FPLJIDNLONPGBI-JTQLQIEISA-N
#24 87.0000@10.2589 MS1+,,1,replib,13020,242.225,242,-100,942,32.8,Methyl tetradecanoate,124107,36034,ZAZKJZBWRNNLDS-UHFFFAOYSA-N
#26 142.0000@7.5698 MS1+,,1,replib,28585,259.142,259,356,981,81.8,"L-Proline, 2TMS derivative",7364478,452791,DKGIXVJPGFXLRM-UHFFFAOYSA-N
#27 103.0000@11.0154 MS1+,,1,mainlib,49468,569.288,569,-134,906,8.4,"L-(-)-Sorbose, pentakis(trimethylsilyl) ether, methyloxime (syn)",0,380175,ACDMQGXCXUQPRR-NMWGTECJSA-N
#28 147.0000@7.3228 MS1+,,1,mainlib,50959,308.166,308,224,903,75,"Glycerol, 3TMS derivative",6787106,408165,JQUGYGVCECHKBA-UHFFFAOYSA-N
#29 87.0000@6.3546 MS1+,,1,replib,12979,158.131,158,351,971,90.6,"Octanoic acid, methyl ester",111115,428586,JGHZJRVDZXSNKQ-UHFFFAOYSA-N
#30 87.0000@13.2028 MS1+,,1,replib,13002,228.209,228,-113,913,25.6,"Tridecanoic acid, methyl ester",1731880,77574,JNDDPBOKWCBQSM-UHFFFAOYSA-N
#32 217.0000@11.4917 MS1+,,1,mainlib,52600,466.206,466,-301,843,24.6,"Mannonic acid, .gamma.-lactone, 4TMS",55515305,17884,FTOCXQVQZOFUDF-NCOADZHNSA-N
#33 156.0000@9.0535 MS1+,,1,replib,30952,273.122,273,265,933,84.5,"L-5-Oxoproline, 2TMS",30274772,71660,QACGFKAUSXGLCU-VIFPVBQESA-N
#34 156.0000@10.4774 MS1+,,1,replib,30959,362.188,362,193,851,83.9,"L-Glutamine, 3TMS derivative",70591285,414648,KQLPBEWWXARCMA-UHFFFAOYSA-N
#35 117.0000@12.7040 MS1+,,1,replib,11921,354.295,354,155,925,41.2,"Oleic Acid, (Z)-, TMS derivative",21556263,141484,GAODWSYPSJBKGB-SEYXRHQNSA-N
#36 87.0000@12.3081 MS1+,,1,mainlib,56268,270.256,270,-110,942,20.6,"Pentadecanoic acid, 14-methyl-, methyl ester",5129602,158474,WAKCWJNDXBPEBP-UHFFFAOYSA-N
#38 185.0000@12.1924 MS1+,,1,replib,35106,302.134,302,140,838,91.8,"Naproxen, TMS derivative",74793832,465996,PPHRTNQQVJGADT-UHFFFAOYSA-N
#39 147.0000@10.8959 MS1+,,1,mainlib,50985,452.227,452,465,958,81.1,"1,5-Anhydroglucitol, 4TMS derivative",82682675,380138,BKZSHWBRUJTUIK-UHFFFAOYSA-N
#40 87.0000@14.0280 MS1+,,1,replib,12999,200.178,200,-151,900,20.5,"Undecanoic acid, methyl ester",1731868,77566,XPQPWPZFBULGKT-UHFFFAOYSA-N
#41 218.0000@11.3682 MS1+,,1,replib,38128,397.192,397,429,922,88.3,"L-Tyrosine, 3TMS derivative",51220736,79168,WMWBCQXPKSQMOK-KRWDZBQOSA-N
#42 87.0000@14.7904 MS1+,,1,replib,12999,200.178,200,-185,888,20.6,"Undecanoic acid, methyl ester",1731868,77566,XPQPWPZFBULGKT-UHFFFAOYSA-N
#43 202.0000@12.7216 MS1+,,1,mainlib,232449,420.208,420,-107,921,35.9,"Tryptophan, 3TMS derivative",7537044,283849,JRAGJGVCQZJQIM-UHFFFAOYSA-N
#44 156.0000@11.2702 MS1+,,1,mainlib,51716,434.264,434,122,863,89.2,"L-Lysine, 4TMS derivative",55429077,465716,NAMWUGJQNPIVND-KRWDZBQOSA-N
#45 147.0000@10.6950 MS1+,,1,replib,12683,480.185,480,122,865,89.2,"Citric acid, 4TMS derivative",14330973,71548,VFGAVMGYDWDESE-UHFFFAOYSA-N
#46 267.0000@8.9800 MS1+,,1,replib,11745,282.111,282,155,854,89.5,"Salicylic acid, 2TMS derivative",3789853,64161,BNAGIDDOEKUJRZ-UHFFFAOYSA-N
#48 87.0000@15.5234 MS1+,,1,replib,12999,200.178,200,-143,882,38.4,"Undecanoic acid, methyl ester",1731868,77566,XPQPWPZFBULGKT-UHFFFAOYSA-N
#49 142.0000@10.7224 MS1+,,1,replib,28588,420.248,420,471,905,93.9,"L-Ornithine, 4TMS derivative",55556702,141299,PUQPCLIKLCAPHV-UHFFFAOYSA-N
#50 158.0000@7.5031 MS1+,,1,replib,31190,275.174,275,103,894,39.9,"L-Isoleucine, 2TMS derivative",7483923,79172,JQJPJSDLFYVVEY-QWRGUYRKSA-N
#51 147.0000@14.3631 MS1+,,1,mainlib,54956,646.284,646,-246,869,18.1,"Sweroside, 4TMS derivative",0,488833,DQTXUPYPAXXZBP-VDIZYGNCSA-N
#52 87.0000@16.3329 MS1+,,1,mainlib,56262,186.162,186,-224,868,33.5,Methyl 8-methyl-nonanoate,-452009,452009,UXZNAWMXEJTQCC-UHFFFAOYSA-N
#54 217.0000@11.4182 MS1+,,1,mainlib,50991,466.206,466,-367,822,16.5,"Allonic acid, .gamma.-lactone, 4TMS",55515349,17878,FTOCXQVQZOFUDF-QBPKDAKJSA-N
#55 147.0000@15.7645 MS1+,,1,mainlib,52775,615.254,615,137,824,94,".beta.-d-Glucopyranosiduronic acid, 4-(acetylamino)phenyl 2,3,4-tris-O-(trimethylsilyl)-, trimethylsilyl ester",72088063,465401,AKLKGRLRHAKBBH-IIDPJMFPSA-N
#57 147.0000@9.1877 MS1+,,1,mainlib,51073,424.195,424,278,886,85.3,"2,3,4-Trihydroxybutyric acid tetrakis(trimethylsilyl) deriv., (, (R*,R*)-)",38191887,352533,IEXXQBIANMZJJP-UHFFFAOYSA-N
#58 99.0000@9.7904 MS1+,,1,mainlib,89372,352.143,352,656,942,61.1,"Phosphoric acid, dibutyl 1,1-dimethyl-2,2,3,3-tetrafluoropropyl ester",0,298939,GLHUYMJYYGAJPG-UHFFFAOYSA-N
#60 87.0000@17.3070 MS1+,,1,mainlib,56262,186.162,186,-258,860,36.4,Methyl 8-methyl-nonanoate,-452009,452009,UXZNAWMXEJTQCC-UHFFFAOYSA-N
#63 117.0000@8.1088 MS1+,,1,replib,12160,335.177,335,572,934,97.6,"L-Threonine, 3TMS derivative",7537022,15549,GTYBQDCOPQDAPP-NEPJUHHUSA-N
#64 174.0000@10.9439 MS1+,,1,mainlib,203384,362.224,362,-158,842,60.5,"L-Lysine, N6,N6-bis(trimethylsilyl)-, trimethylsilyl ester",0,465860,VMHBNELEAYHIPH-UHFFFAOYSA-N
#66 218.0000@9.6954 MS1+,,1,mainlib,52674,309.158,309,653,937,78.9,"Phenylalanine, 2TMS derivative",2899527,333658,DWNFNBPPSFIIBG-UHFFFAOYSA-N
#67 204.0000@7.9324 MS1+,,1,mainlib,233995,321.161,321,540,929,77.2,"Serine, 3TMS derivative",64625178,333286,MBEDINMZZORSJN-NSHDSACASA-N
#70 117.0000@9.8198 MS1+,,1,replib,11929,272.217,272,449,914,93.8,"Dodecanoic acid, TMS derivative",55520951,30839,RHDZBWSXEZTMPK-UHFFFAOYSA-N
#71 189.0000@7.6766 MS1+,,1,replib,38084,246.184,246,408,901,95,"Disiloxane, hexaethyl-",994490,152718,WILBTFWIBAOWLN-UHFFFAOYSA-N
#72 246.0000@9.5866 MS1+,,1,mainlib,261023,363.172,363,106,850,90.7,"L-Glutamic acid, 3TMS derivative",15985076,333275,STTWTJDZFSSNFS-LBPRGKRZSA-N
#74 171.0000@9.7767 MS1+,,1,replib,11805,186.18,186,-334,828,40,Trimethyl(n-octyl)silane,3429763,149959,OYOGCAUNFUJOMO-UHFFFAOYSA-N
#75 147.0000@9.9335 MS1+,,1,mainlib,290544,341.133,341,155,819,95,"Taurine, 3TMS derivative",0,366685,MYBLXZCUTSINIT-UHFFFAOYSA-N
#78 147.0000@7.7207 MS1+,,1,replib,12323,322.145,322,133,850,86.3,"Glyceric acid, 3TMS derivative",38191876,414219,VTLZEKUPFUIGJQ-UHFFFAOYSA-N
#80 95.0000@12.6844 MS1+,,1,replib,13215,352.28,352,-181,856,63.6,"9,12-Octadecadienoic acid (Z,Z)-, TMS derivative",56259075,24454,MXGBYOVWUYSJSN-UTJQPWESSA-N
#82 147.0000@14.7590 MS1+,,1,mainlib,52350,947.459,947,-185,888,17.7,"Maltose, octakis(trimethylsilyl) ether, methyloxime (isomer 2)",0,380102,KNAZTEWBFRPMHZ-DZTJYMNTSA-N
#83 117.0000@7.9843 MS1+,,1,mainlib,242181,230.17,230,135,902,36.8,"Nonanoic acid, TMS derivative",82326112,333729,ISTGUORKGWWKMI-UHFFFAOYSA-N
#84 146.0000@13.0176 MS1+,,1,mainlib,244152,528.182,528,233,894,92,"L-Cystine, 4TMS derivative",69688444,333695,QLOSYBGVFCKXGZ-UHFFFAOYSA-N
#88 147.0000@8.6742 MS1+,,1,replib,12348,335.14,335,-158,848,79.7,"2-Aminomalonic acid, N,O,O,-TMS",959080514,465391,HFJBTSWFKQDXSU-UHFFFAOYSA-N
#89 174.0000@10.3971 MS1+,,1,mainlib,203209,348.208,348,-105,853,79.5,"DL-Ornithine, 3TMS derivative",0,333141,DWBDHQORSKFVMK-UHFFFAOYSA-N
#90 91.0000@13.3772 MS1+,,1,mainlib,48929,376.28,376,138,936,44.4,"Arachidonic acid, TMS derivative",113516180,333232,WKCGHSAPDCPZBQ-SNPVRQPZSA-N
#98 147.0000@10.3677 MS1+,,1,replib,12802,460.172,460,-148,845,73.3,"Phosphoric acid, bis(trimethylsilyl) 2,3-bis[(trimethylsilyl)oxy]propyl ester",31038116,79108,OSNKBCBCOYHYNF-UHFFFAOYSA-N
#99 91.0000@14.1495 MS1+,,1,mainlib,48930,400.28,400,-107,922,46.7,"Doconexent, TMS derivative",0,333238,WKGLYXNPWPPKPA-WSDBEMKQSA-N
#100 220.0000@9.2260 MS1+,,1,mainlib,52712,337.138,337,327,904,83.2,"L-Cysteine, 3TMS derivative",7364503,79166,JRLJALOBTPYEJK-NSHDSACASA-N
