Unknown,uInChIKey,Rank,Library,Id,Mass,Lib MW,InLib,MF,Prob(%),Name,CAS,NIST r.n.,InChIKey
#22 267.0000@9.1044 MS1+,,1,replib,11745,282.111,282,204,865,88.5,"Salicylic acid, 2TMS derivative",3789853,64161,BNAGIDDOEKUJRZ-UHFFFAOYSA-N
#24 144.0000@7.0739 MS1+,,1,mainlib,164203,261.158,261,155,930,63.5,"L-Norvaline, 2TMS derivative",7364456,12688,FPLJIDNLONPGBI-JTQLQIEISA-N
#25 147.0000@14.4699 MS1+,,1,mainlib,54956,646.284,646,-283,858,19,"Sweroside, 4TMS derivative",0,488833,DQTXUPYPAXXZBP-VDIZYGNCSA-N
#26 147.0000@7.4394 MS1+,,1,mainlib,50959,308.166,308,196,938,74.1,"Glycerol, 3TMS derivative",6787106,408165,JQUGYGVCECHKBA-UHFFFAOYSA-N
#27 156.0000@9.1750 MS1+,,1,replib,30953,273.122,273,195,967,36.6,"L-5-Oxoproline, 2TMS",30274772,292696,QACGFKAUSXGLCU-VIFPVBQESA-N
#28 117.0000@12.8235 MS1+,,1,replib,11921,354.295,354,155,928,45.2,"Oleic Acid, (Z)-, TMS derivative",21556263,141484,GAODWSYPSJBKGB-SEYXRHQNSA-N
#29 129.0000@16.7710 MS1+,,1,replib,25955,458.394,458,137,892,46.9,"Cholesterol, TMS derivative",1856059,74551,CBVJJGRSRFXUPK-OCBUSCMESA-N
#30 87.0000@9.1966 MS1+,,1,replib,13025,214.193,214,207,970,68.7,"Dodecanoic acid, methyl ester",111820,77568,UQDUPQYQJKYHQI-UHFFFAOYSA-N
#31 147.0000@11.0115 MS1+,,1,mainlib,50985,452.227,452,445,940,79.6,"1,5-Anhydroglucitol, 4TMS derivative",82682675,380138,BKZSHWBRUJTUIK-UHFFFAOYSA-N
#32 87.0000@11.4545 MS1+,,1,replib,13002,228.209,228,116,946,31.5,"Tridecanoic acid, methyl ester",1731880,77574,JNDDPBOKWCBQSM-UHFFFAOYSA-N
#33 87.0000@7.8853 MS1+,,1,replib,13009,186.162,186,201,950,52.3,"Decanoic acid, methyl ester",110429,53552,YRHYCMZPEVDGFQ-UHFFFAOYSA-N
#34 147.0000@9.3063 MS1+,,1,mainlib,51073,424.195,424,340,892,89.7,"2,3,4-Trihydroxybutyric acid tetrakis(trimethylsilyl) deriv., (, (R*,R*)-)",38191887,352533,IEXXQBIANMZJJP-UHFFFAOYSA-N
#35 91.0000@6.7005 MS1+,,1,replib,17042,180.097,180,195,963,69.9,"Benzyl alcohol, TMS derivative",14642796,160729,AOKMFXQCRBQJOP-UHFFFAOYSA-N
#36 156.0000@10.5970 MS1+,,1,replib,30959,362.188,362,140,838,82,"L-Glutamine, 3TMS derivative",70591285,414648,KQLPBEWWXARCMA-UHFFFAOYSA-N
#37 87.0000@7.1846 MS1+,,1,replib,12988,172.146,172,144,954,76.1,"Nonanoic acid, methyl ester",1731846,107485,IJXHLVMUNBOGRR-UHFFFAOYSA-N
#38 87.0000@10.3804 MS1+,,1,replib,13020,242.225,242,116,944,35.2,Methyl tetradecanoate,124107,36034,ZAZKJZBWRNNLDS-UHFFFAOYSA-N
#40 141.0000@9.0162 MS1+,,1,replib,6236,141.061,141,-197,872,49,"Cyclohexane, isothiocyanato-",1122823,231485,MZSJGCPBOVTKHR-UHFFFAOYSA-N
#41 147.0000@10.8106 MS1+,,1,replib,12683,480.185,480,-148,849,83.8,"Citric acid, 4TMS derivative",14330973,71548,VFGAVMGYDWDESE-UHFFFAOYSA-N
#42 87.0000@6.4722 MS1+,,1,replib,12979,158.131,158,347,969,90.8,"Octanoic acid, methyl ester",111115,428586,JGHZJRVDZXSNKQ-UHFFFAOYSA-N
#44 156.0000@11.3888 MS1+,,1,mainlib,51716,434.264,434,109,870,88,"L-Lysine, 4TMS derivative",55429077,465716,NAMWUGJQNPIVND-KRWDZBQOSA-N
#45 158.0000@7.6237 MS1+,,1,replib,31190,275.174,275,-117,897,61.5,"L-Isoleucine, 2TMS derivative",7483923,79172,JQJPJSDLFYVVEY-QWRGUYRKSA-N
#46 142.0000@10.8390 MS1+,,1,replib,28588,420.248,420,152,849,90.8,"L-Ornithine, 4TMS derivative",55556702,141299,PUQPCLIKLCAPHV-UHFFFAOYSA-N
#48 202.0000@12.8422 MS1+,,1,replib,36773,420.208,420,-168,888,42.2,"L-Tryptophan, 3TMS derivative",55429282,17333,JRAGJGVCQZJQIM-SFHVURJKSA-N
#49 218.0000@11.4888 MS1+,,1,replib,38130,397.192,397,316,928,84.7,"L-Tyrosine, 3TMS derivative",51220736,333254,WMWBCQXPKSQMOK-KRWDZBQOSA-N
#51 147.0000@15.1569 MS1+,,1,mainlib,53957,687.293,687,333,871,97.7,".beta.-D-Glucopyranosiduronic acid, 4-[acetyl(trimethylsilyl)amino]phenyl 2,3,4-tris-O-(trimethylsilyl)-, trimethylsilyl ester",55836516,141463,PKXHUOYUDRBHHR-UHFFFAOYSA-N
#52 87.0000@12.4276 MS1+,,1,mainlib,56268,270.256,270,-103,938,32.4,"Pentadecanoic acid, 14-methyl-, methyl ester",5129602,158474,WAKCWJNDXBPEBP-UHFFFAOYSA-N
#53 87.0000@14.1446 MS1+,,1,replib,12999,200.178,200,-122,908,22.5,"Undecanoic acid, methyl ester",1731868,77566,XPQPWPZFBULGKT-UHFFFAOYSA-N
#54 217.0000@11.6034 MS1+,,1,mainlib,52600,466.206,466,-359,832,18.2,"Mannonic acid, .gamma.-lactone, 4TMS",55515305,17884,FTOCXQVQZOFUDF-NCOADZHNSA-N
#55 87.0000@13.3204 MS1+,,1,replib,12999,200.178,200,-113,917,24.2,"Undecanoic acid, methyl ester",1731868,77566,XPQPWPZFBULGKT-UHFFFAOYSA-N
#56 204.0000@8.0519 MS1+,,1,mainlib,233995,321.161,321,447,917,79.8,"Serine, 3TMS derivative",64625178,333286,MBEDINMZZORSJN-NSHDSACASA-N
#57 147.0000@10.0541 MS1+,,1,mainlib,290544,341.133,341,151,821,94.2,"Taurine, 3TMS derivative",0,366685,MYBLXZCUTSINIT-UHFFFAOYSA-N
#59 117.0000@8.2264 MS1+,,1,replib,12160,335.177,335,552,929,97.5,"L-Threonine, 3TMS derivative",7537022,15549,GTYBQDCOPQDAPP-NEPJUHHUSA-N
#60 97.0000@5.6686 MS1+,,1,mainlib,87518,97.064,97,-256,850,45.7,"Pyrollidine, 2,5-bis(imino)-",503844,288393,DQDKOANVADPVQR-UHFFFAOYSA-N
#61 87.0000@14.9060 MS1+,,1,replib,12999,200.178,200,-138,895,23.3,"Undecanoic acid, methyl ester",1731868,77566,XPQPWPZFBULGKT-UHFFFAOYSA-N
#62 87.0000@15.6508 MS1+,,1,mainlib,56262,186.162,186,-119,873,45.7,Methyl 8-methyl-nonanoate,-452009,452009,UXZNAWMXEJTQCC-UHFFFAOYSA-N
#64 147.0000@9.2113 MS1+,,1,mainlib,51073,424.195,424,-113,807,74.7,"2,3,4-Trihydroxybutyric acid tetrakis(trimethylsilyl) deriv., (, (R*,R*)-)",38191887,352533,IEXXQBIANMZJJP-UHFFFAOYSA-N
#65 95.0000@12.8020 MS1+,,1,replib,13215,352.28,352,-117,865,43.2,"9,12-Octadecadienoic acid (Z,Z)-, TMS derivative",56259075,24454,MXGBYOVWUYSJSN-UTJQPWESSA-N
#68 87.0000@16.4829 MS1+,,1,mainlib,56262,186.162,186,-197,872,33.3,Methyl 8-methyl-nonanoate,-452009,452009,UXZNAWMXEJTQCC-UHFFFAOYSA-N
#69 86.0000@6.8465 MS1+,,1,mainlib,47626,192.1,192,-259,813,39.6,"2-[2-[2-Methoxyethoxy]ethoxy-1,3-dioxalane",74733996,239124,SOFPQQBEKFKYNC-UHFFFAOYSA-N
#70 152.0000@5.8263 MS1+,,1,replib,4756,195.126,195,-118,881,65.8,"2,6-Dimethoxyamphetamine",23690144,365883,OHGNLLDQBKOWJW-UHFFFAOYSA-N
#71 117.0000@7.6354 MS1+,,1,mainlib,49928,263.137,263,716,926,96.8,"L-Threonine, 2TMS derivative",7536825,333256,CKXHAGKHQXMUJP-BDAKNGLRSA-N
#75 101.0000@10.4823 MS1+,,1,replib,12802,460.172,460,-148,848,75.4,"Phosphoric acid, bis(trimethylsilyl) 2,3-bis[(trimethylsilyl)oxy]propyl ester",31038116,79108,OSNKBCBCOYHYNF-UHFFFAOYSA-N
#76 149.0000@14.2053 MS1+,,1,replib,29865,330.183,330,101,960,14.9,Dicyclohexyl phthalate,84617,315339,VOWAEIGWURALJQ-UHFFFAOYSA-N
#77 87.0000@17.4893 MS1+,,1,mainlib,56262,186.162,186,-224,863,31.6,Methyl 8-methyl-nonanoate,-452009,452009,UXZNAWMXEJTQCC-UHFFFAOYSA-N
#78 246.0000@9.7032 MS1+,,1,mainlib,261023,363.172,363,171,875,92.3,"L-Glutamic acid, 3TMS derivative",15985076,333275,STTWTJDZFSSNFS-LBPRGKRZSA-N
#79 218.0000@9.8179 MS1+,,1,mainlib,52674,309.158,309,676,917,58.7,"Phenylalanine, 2TMS derivative",2899527,333658,DWNFNBPPSFIIBG-UHFFFAOYSA-N
#81 146.0000@13.1332 MS1+,,1,mainlib,244152,528.182,528,162,885,90.8,"L-Cystine, 4TMS derivative",69688444,333695,QLOSYBGVFCKXGZ-UHFFFAOYSA-N
#82 91.0000@13.4988 MS1+,,1,mainlib,48929,376.28,376,160,935,42.7,"Arachidonic acid, TMS derivative",113516180,333232,WKCGHSAPDCPZBQ-SNPVRQPZSA-N
#85 147.0000@7.8383 MS1+,,1,mainlib,50901,322.145,322,202,878,87.9,"Glyceric acid, 3TMS derivative",38191876,150744,VTLZEKUPFUIGJQ-UHFFFAOYSA-N
#87 147.0000@7.7579 MS1+,,1,replib,29392,206.079,206,244,941,50.8,"Silanol, trimethyl-, carbonate (2:1)",39981890,9465,POWCFMBNSWHQEJ-UHFFFAOYSA-N
#90 99.0000@9.9100 MS1+,,1,mainlib,27173,184.071,184,167,918,21.4,"1-Butanol, 2-methyl-, trifluoroacetate",340034471,417555,IIKVUZNVOYQVOL-UHFFFAOYSA-N
#94 147.0000@8.7948 MS1+,,1,replib,12348,335.14,335,-136,829,77.1,"2-Aminomalonic acid, N,O,O,-TMS",959080514,465391,HFJBTSWFKQDXSU-UHFFFAOYSA-N
#95 174.0000@11.0605 MS1+,,1,mainlib,203384,362.224,362,-201,825,65,"L-Lysine, N6,N6-bis(trimethylsilyl)-, trimethylsilyl ester",0,465860,VMHBNELEAYHIPH-UHFFFAOYSA-N
#102 91.0000@14.2710 MS1+,,1,mainlib,48930,400.28,400,-103,938,41.2,"Doconexent, TMS derivative",0,333238,WKGLYXNPWPPKPA-WSDBEMKQSA-N
#105 117.0000@9.9423 MS1+,,1,replib,11929,272.217,272,178,865,90.2,"Dodecanoic acid, TMS derivative",55520951,30839,RHDZBWSXEZTMPK-UHFFFAOYSA-N
#108 116.0000@10.0109 MS1+,,1,mainlib,49837,348.172,348,103,838,60.2,"Asparagine, 3TMS derivative",55649622,333260,XENSVLLMVLKHGJ-NSHDSACASA-N
