,accession,name,chemical_formula,average_molecular_weight,monisotopic_molecular_weight,iupac_name,traditional_iupac,cas_registry_number,smiles,inchi,inchikey
10,HMDB0000378,2-Methylbutyroylcarnitine,C12H23NO4,245.3153,245.162708229,3-[(2-methylbutanoyl)oxy]-4-(trimethylazaniumyl)butanoate,2-methylbutyroylcarnitine,31023-25-3,CCC(C)C(=O)OC(CC([O-])=O)C[N+](C)(C)C,"InChI=1S/C12H23NO4/c1-6-9(2)12(16)17-10(7-11(14)15)8-13(3,4)5/h9-10H,6-8H2,1-5H3",IHCPDBBYTYJYIL-UHFFFAOYSA-N
11,HMDB0000381,Allolithocholic acid,C24H40O3,376.5726,376.297745146,"(4S)-4-[(2S,5R,15R)-5-hydroxy-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-14-yl]pentanoic acid",allolithocholic acid,2276-94-0,C[C@@H](CCC(O)=O)C1CCC2C3CCC4C[C@H](O)CC[C@]4(C)C3CC[C@]12C,"InChI=1S/C24H40O3/c1-15(4-9-22(26)27)19-7-8-20-18-6-5-16-14-17(25)10-12-23(16,2)21(18)11-13-24(19,20)3/h15-21,25H,4-14H2,1-3H3,(H,26,27)/t15-,16?,17+,18?,19?,20?,21?,23-,24+/m0/s1",SMEROWZSTRWXGI-IBUNROKMSA-N
12,HMDB0000403,2-Hydroxyadenine,C5H5N5O,151.1261,151.049409807,6-amino-7H-purin-2-ol,2-hydroxy-6-aminopurine,3373-53-3,NC1=NC(O)=NC2=C1NC=N2,"InChI=1S/C5H5N5O/c6-3-2-4(8-1-7-2)10-5(11)9-3/h1H,(H4,6,7,8,9,10,11)",DRAVOWXCEBXPTN-UHFFFAOYSA-N
13,HMDB0000408,2-Methyl-3-ketovaleric acid,C6H10O3,130.1418,130.062994186,2-methyl-3-oxopentanoic acid,2-methyl-3-oxovaleric acid,14925-93-0,CCC(=O)C(C)C(O)=O,"InChI=1S/C6H10O3/c1-3-5(7)4(2)6(8)9/h4H,3H2,1-2H3,(H,8,9)",QTLYPQZWYOHATR-UHFFFAOYSA-N
14,HMDB0000509,Senecioic acid,C5H8O2,100.1158,100.0524295,3-methylbut-2-enoic acid,"β,β-dimethacrylate",541-47-9,CC(C)=CC(O)=O,"InChI=1S/C5H8O2/c1-4(2)3-5(6)7/h3H,1-2H3,(H,6,7)",YYPNJNDODFVZLE-UHFFFAOYSA-N
15,HMDB0000572,Desmosine,C24H40N5O8,526.61,526.287139688,"3,5-bis[(3S)-3-amino-3-carboxypropyl]-4-[(4S)-4-amino-4-carboxybutyl]-1-[(5S)-5-amino-5-carboxypentyl]pyridin-1-ium",desmosine,11003-57-9,N[C@@H](CCCC[N+]1=CC(CC[C@H](N)C(O)=O)=C(CCC[C@H](N)C(O)=O)C(CC[C@H](N)C(O)=O)=C1)C(O)=O,"InChI=1S/C24H39N5O8/c25-17(21(30)31)5-1-2-11-29-12-14(7-9-19(27)23(34)35)16(4-3-6-18(26)22(32)33)15(13-29)8-10-20(28)24(36)37/h12-13,17-20H,1-11,25-28H2,(H3-,30,31,32,33,34,35,36,37)/p+1/t17-,18-,19-,20-/m0/s1",VEVRNHHLCPGNDU-MUGJNUQGSA-O
16,HMDB0000590,Glutarylglycine,C7H11NO5,189.1659,189.063722467,4-[(carboxymethyl)carbamoyl]butanoic acid,4-(carboxymethylcarbamoyl)butanoic acid,17686-38-3,OC(=O)CCCC(=O)NCC(O)=O,"InChI=1S/C7H11NO5/c9-5(8-4-7(12)13)2-1-3-6(10)11/h1-4H2,(H,8,9)(H,10,11)(H,12,13)",NBLKTRLPZFCMJG-UHFFFAOYSA-N
17,HMDB0000603,cis-4-Decenedioic acid,C10H16O4,200.2316,200.104859,(4Z)-dec-4-enedioic acid,(4Z)-dec-4-enedioic acid,72879-22-2,OC(=O)CCCC\C=C/CCC(O)=O,"InChI=1S/C10H16O4/c11-9(12)7-5-3-1-2-4-6-8-10(13)14/h1,3H,2,4-8H2,(H,11,12)(H,13,14)/b3-1-",CXGDCGIPEJKSCK-IWQZZHSRSA-N
18,HMDB0000620,Glutaconic acid,C5H6O4,130.0987,130.02660868,(2E)-pent-2-enedioic acid,glutaconic acid,1724-02-3,OC(=O)C\C=C\C(O)=O,"InChI=1S/C5H6O4/c6-4(7)2-1-3-5(8)9/h1-2H,3H2,(H,6,7)(H,8,9)/b2-1+",XVOUMQNXTGKGMA-OWOJBTEDSA-N
19,HMDB0000704,Isoxanthopterin,C6H5N5O2,179.1362,179.044324429,"2-amino-1,4,7,8-tetrahydropteridine-4,7-dione","2-amino-1,8-dihydropteridine-4,7-dione",529-69-1,NC1=NC(=O)C2=C(N1)NC(=O)C=N2,"InChI=1S/C6H5N5O2/c7-6-10-4-3(5(13)11-6)8-1-2(12)9-4/h1H,(H4,7,9,10,11,12,13)",GLKCOBIIZKYKFN-UHFFFAOYSA-N
20,HMDB0000737,Heptacarboxylporphyrin I,C39H38N4O14,786.7374,786.238451944,"3-[9,14,19-tris(2-carboxyethyl)-10,15,20-tris(carboxymethyl)-5-methyl-21,22,23,24-tetraazapentacyclo[16.2.1.1^{3,6}.1^{8,11}.1^{13,16}]tetracosa-1(20),2,4,6(24),7,9,11,13(22),14,16,18-undecaen-4-yl]propanoic acid","3-[9,14,19-tris(2-carboxyethyl)-10,15,20-tris(carboxymethyl)-5-methyl-21,22,23,24-tetraazapentacyclo[16.2.1.1^{3,6}.1^{8,11}.1^{13,16}]tetracosa-1(20),2,4,6(24),7,9,11,13(22),14,16,18-undecaen-4-yl]propanoic acid",65406-45-3,CC1=C(CCC(O)=O)\C2=C\C3=C(CC(O)=O)C(CCC(O)=O)=C(N3)\C=C3/N=C(/C=C4\N\C(=C/C1=N2)C(CCC(O)=O)=C4CC(O)=O)C(CCC(O)=O)=C3CC(O)=O,"InChI=1S/C39H38N4O14/c1-17-18(2-6-33(44)45)26-14-30-23(11-38(54)55)20(4-8-35(48)49)28(42-30)16-32-24(12-39(56)57)21(5-9-36(50)51)29(43-32)15-31-22(10-37(52)53)19(3-7-34(46)47)27(41-31)13-25(17)40-26/h13-16,41-42H,2-12H2,1H3,(H,44,45)(H,46,47)(H,48,49)(H,50,51)(H,52,53)(H,54,55)(H,56,57)/b25-13-,26-14-,27-13-,28-16-,29-15-,30-14-,31-15-,32-16-",GWTVAIDNCPVMLP-YBWGHNILSA-N
21,HMDB0000781,N-Acetylgalactosamine 4-sulphate,C8H15NO9S,301.271,301.046751773,"[(2R,3R,4R,5R,6R)-5-acetamido-4,6-dihydroxy-2-(hydroxymethyl)oxan-3-yl]oxidanesulfonic acid","[(2R,3R,4R,5R,6R)-5-acetamido-4,6-dihydroxy-2-(hydroxymethyl)oxan-3-yl]oxidanesulfonic acid",45233-43-0,CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@H](OS(O)(=O)=O)[C@@H]1O,"InChI=1S/C8H15NO9S/c1-3(11)9-5-6(12)7(18-19(14,15)16)4(2-10)17-8(5)13/h4-8,10,12-13H,2H2,1H3,(H,9,11)(H,14,15,16)/t4-,5-,6-,7+,8-/m1/s1",WHCJUIFHMJFEFZ-UIAUGNHASA-N
22,HMDB0000814,N-Acetylglucosamine 6-sulfate,C8H15NO9S,301.271,301.046751773,"{[(2R,3S,4R,5R,6R)-5-acetamido-3,4,6-trihydroxyoxan-2-yl]methoxy}sulfonic acid","[(2R,3S,4R,5R,6R)-5-acetamido-3,4,6-trihydroxyoxan-2-yl]methoxysulfonic acid",10356-99-7,CC(=O)N[C@H]1[C@H](O)O[C@H](COS(O)(=O)=O)[C@@H](O)[C@@H]1O,"InChI=1S/C8H15NO9S/c1-3(10)9-5-7(12)6(11)4(18-8(5)13)2-17-19(14,15)16/h4-8,11-13H,2H2,1H3,(H,9,10)(H,14,15,16)/t4-,5-,6-,7-,8-/m1/s1",WJFVEEAIYIOATH-FMDGEEDCSA-N
23,HMDB0000825,3'-Sialyllactose,C23H39NO19,633.5511,633.211628071,"(2S,4S,5R,6R)-2-{[(2R,3S,4S,5R,6S)-3,5-dihydroxy-2-(hydroxymethyl)-6-{[(2R,3R,4R,5R)-1,2,4,5-tetrahydroxy-6-oxohexan-3-yl]oxy}oxan-4-yl]oxy}-5-acetamido-4-hydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylic acid","(2S,4S,5R,6R)-2-{[(2R,3S,4S,5R,6S)-3,5-dihydroxy-2-(hydroxymethyl)-6-{[(2R,3R,4R,5R)-1,2,4,5-tetrahydroxy-6-oxohexan-3-yl]oxy}oxan-4-yl]oxy}-5-acetamido-4-hydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylic acid",35890-38-1,[H][C@]1(O[C@@](C[C@H](O)[C@H]1NC(C)=O)(O[C@H]1[C@@H](O)[C@@H](CO)O[C@@H](O[C@H]([C@H](O)CO)[C@H](O)[C@@H](O)C=O)[C@@H]1O)C(O)=O)[C@H](O)[C@H](O)CO,"InChI=1S/C23H39NO19/c1-7(29)24-13-8(30)2-23(22(38)39,42-19(13)15(35)10(32)4-26)43-20-16(36)12(6-28)40-21(17(20)37)41-18(11(33)5-27)14(34)9(31)3-25/h3,8-21,26-28,30-37H,2,4-6H2,1H3,(H,24,29)(H,38,39)/t8-,9-,10+,11+,12+,13+,14+,15+,16-,17+,18+,19+,20-,21-,23-/m0/s1",OIZGSVFYNBZVIK-FHHHURIISA-N
24,HMDB0000832,Capryloylglycine,C10H19NO3,201.2628,201.136493479,2-octanamidoacetic acid,N-octanoylglycine,14246-53-8,CCCCCCCC(=O)NCC(O)=O,"InChI=1S/C10H19NO3/c1-2-3-4-5-6-7-9(12)11-8-10(13)14/h2-8H2,1H3,(H,11,12)(H,13,14)",SAVLIIGUQOSOEP-UHFFFAOYSA-N
25,HMDB0000858,Monomethyl glutaric acid,C6H10O4,146.1412,146.057908808,5-methoxy-5-oxopentanoic acid,glutaric acid monomethyl ester,1501-27-5,COC(=O)CCCC(O)=O,"InChI=1S/C6H10O4/c1-10-6(9)4-2-3-5(7)8/h2-4H2,1H3,(H,7,8)",IBMRTYCHDPMBFN-UHFFFAOYSA-N
26,HMDB0000916,Uroporphyrin III,C40H38N4O16,830.7469,830.228281188,"3-[9,14,20-tris(2-carboxyethyl)-5,10,15,19-tetrakis(carboxymethyl)-21,22,23,24-tetraazapentacyclo[16.2.1.1^{3,6}.1^{8,11}.1^{13,16}]tetracosa-1,3,5,7,9,11(23),12,14,16,18(21),19-undecaen-4-yl]propanoic acid","3-[9,14,20-tris(2-carboxyethyl)-5,10,15,19-tetrakis(carboxymethyl)-21,22,23,24-tetraazapentacyclo[16.2.1.1^{3,6}.1^{8,11}.1^{13,16}]tetracosa-1,3,5,7,9,11(23),12,14,16,18(21),19-undecaen-4-yl]propanoic acid",18273-06-8,OC(=O)CCC1=C(CC(O)=O)/C2=C/C3=N/C(=C\C4=C(CCC(O)=O)C(CC(O)=O)=C(N4)/C=C4\N=C(\C=C\1/N\2)C(CCC(O)=O)=C4CC(O)=O)/C(CC(O)=O)=C3CCC(O)=O,"InChI=1S/C40H38N4O16/c45-33(46)5-1-17-21(9-37(53)54)29-14-27-19(3-7-35(49)50)22(10-38(55)56)30(43-27)15-28-20(4-8-36(51)52)24(12-40(59)60)32(44-28)16-31-23(11-39(57)58)18(2-6-34(47)48)26(42-31)13-25(17)41-29/h13-16,41,44H,1-12H2,(H,45,46)(H,47,48)(H,49,50)(H,51,52)(H,53,54)(H,55,56)(H,57,58)(H,59,60)/b25-13-,26-13-,27-14-,28-15-,29-14-,30-15-,31-16-,32-16-",VZVFNUAIRVUCEW-UJJXFSCMSA-N
27,HMDB0000927,Valerylglycine,C7H13NO3,159.183,159.089543287,2-pentanamidoacetic acid,valerylglycine,24003-66-5,CCCCC(=O)NCC(O)=O,"InChI=1S/C7H13NO3/c1-2-3-4-6(9)8-5-7(10)11/h2-5H2,1H3,(H,8,9)(H,10,11)",NYZBWOSRZJKQAI-UHFFFAOYSA-N
28,HMDB0000949,Tetrahydrocortisol,C21H34O5,366.4917,366.240624198,"2-hydroxy-1-[(2S,5R,14R,15S,17S)-5,14,17-trihydroxy-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-14-yl]ethan-1-one","2-hydroxy-1-[(2S,5R,14R,15S,17S)-5,14,17-trihydroxy-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-14-yl]ethanone",53-02-1,C[C@]12C[C@H](O)C3C(CCC4C[C@H](O)CC[C@]34C)C1CC[C@]2(O)C(=O)CO,"InChI=1S/C21H34O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h12-16,18,22-24,26H,3-11H2,1-2H3/t12?,13-,14?,15?,16+,18?,19+,20+,21+/m1/s1",AODPIQQILQLWGS-OBRSLYEHSA-N
29,HMDB0000959,Tiglylglycine,C7H11NO3,157.1671,157.073893223,2-[(2E)-2-methylbut-2-enamido]acetic acid,[(2E)-2-methylbut-2-enamido]acetic acid,35842-45-6,C\C=C(/C)C(=O)NCC(O)=O,"InChI=1S/C7H11NO3/c1-3-5(2)7(11)8-4-6(9)10/h3H,4H2,1-2H3,(H,8,11)(H,9,10)/b5-3+",WRUSVQOKJIDBLP-HWKANZROSA-N
30,HMDB0001151,Allose,C6H12O6,180.1559,180.063388116,"(3S,4S,5R,6S)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",(D)-allose,6038-51-3,[H][C@@]1(CO)OC(O)[C@@]([H])(O)[C@@]([H])(O)[C@@]1([H])O,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4-,5-,6?/m0/s1",WQZGKKKJIJFFOK-HOWGCPQDSA-N
31,HMDB0001368,3-Mercaptopyruvic acid,C3H4O3S,120.127,119.988114684,2-oxo-3-sulfanylpropanoic acid,β-mercaptopyruvic acid,2464-23-5,OC(=O)C(=O)CS,"InChI=1S/C3H4O3S/c4-2(1-7)3(5)6/h7H,1H2,(H,5,6)",OJOLFAIGOXZBCI-UHFFFAOYSA-N
32,HMDB0001371,Nitrogen,N2,28.0134,28.00614801,diazyne,nitrogen,7727-37-9,N#N,InChI=1S/N2/c1-2,IJGRMHOSHXDMSA-UHFFFAOYSA-N
33,HMDB0001460,Diethylthiophosphate,C4H11O3PS,170.167,170.01665142,diethoxy(sulfanylidene)phosphinous acid,DETP,5871-17-0,CCOP(O)(=S)OCC,"InChI=1S/C4H11O3PS/c1-3-6-8(5,9)7-4-2/h3-4H2,1-2H3,(H,5,9)",PKUWKAXTAVNIJR-UHFFFAOYSA-N
34,HMDB0001511,Phosphocreatine,C4H10N3O5P,211.1131,211.035806957,2-(N-methyl-N'-phosphonocarbamimidamido)acetic acid,creatine-phosphate,67-07-2,CN(CC(O)=O)C(=N)NP(O)(O)=O,"InChI=1S/C4H10N3O5P/c1-7(2-3(8)9)4(5)6-13(10,11)12/h2H2,1H3,(H,8,9)(H4,5,6,10,11,12)",DRBBFCLWYRJSJZ-UHFFFAOYSA-N
35,HMDB0001525,Imidazole,C3H4N2,68.0773,68.037448138,1H-imidazole,imidazole,288-32-4,N1C=CN=C1,"InChI=1S/C3H4N2/c1-2-5-3-4-1/h1-3H,(H,4,5)",RAXXELZNTBOGNW-UHFFFAOYSA-N
36,HMDB0001532,Deoxyadenosine triphosphate,C10H16N5O12P3,491.1816,491.000830537,"({[({[(2R,3S,5R)-5-(6-amino-9H-purin-9-yl)-3-hydroxyoxolan-2-yl]methoxy}(hydroxy)phosphoryl)oxy](hydroxy)phosphoryl}oxy)phosphonic acid",dATP,1927-31-7,NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1,"InChI=1S/C10H16N5O12P3/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(16)6(25-7)2-24-29(20,21)27-30(22,23)26-28(17,18)19/h3-7,16H,1-2H2,(H,20,21)(H,22,23)(H2,11,12,13)(H2,17,18,19)/t5-,6+,7+/m0/s1",SUYVUBYJARFZHO-RRKCRQDMSA-N
37,HMDB0001544,m-Chlorobenzoic acid,C7H5ClO2,156.566,155.997807111,3-chlorobenzoic acid,3-chlorobenzoic acid,535-80-8,OC(=O)C1=CC(Cl)=CC=C1,"InChI=1S/C7H5ClO2/c8-6-3-1-2-5(4-6)7(9)10/h1-4H,(H,9,10)",LULAYUGMBFYYEX-UHFFFAOYSA-N
38,HMDB0001587,Phenylglyoxylic acid,C8H6O3,150.1314,150.031694058,2-oxo-2-phenylacetic acid,benzoylformic acid,611-73-4,OC(=O)C(=O)C1=CC=CC=C1,"InChI=1S/C8H6O3/c9-7(8(10)11)6-4-2-1-3-5-6/h1-5H,(H,10,11)",FAQJJMHZNSSFSM-UHFFFAOYSA-N
39,HMDB0001849,Propranolol,C16H21NO2,259.3434,259.157228921,1-(naphthalen-1-yloxy)-3-[(propan-2-yl)amino]propan-2-ol,propranolol,525-66-6,CC(C)NCC(O)COC1=CC=CC2=CC=CC=C12,"InChI=1S/C16H21NO2/c1-12(2)17-10-14(18)11-19-16-9-5-7-13-6-3-4-8-15(13)16/h3-9,12,14,17-18H,10-11H2,1-2H3",AQHHHDLHHXJYJD-UHFFFAOYSA-N
40,HMDB0001900,Ribonolactone,C5H8O5,148.114,148.037173366,"(3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-one",D-ribosone,5336-08-3,OC[C@H]1OC(=O)[C@H](O)[C@@H]1O,"InChI=1S/C5H8O5/c6-1-2-3(7)4(8)5(9)10-2/h2-4,6-8H,1H2/t2-,3-,4-/m1/s1",CUOKHACJLGPRHD-BXXZVTAOSA-N
41,HMDB0002043,5-Phenylvaleric acid,C11H14O2,178.2277,178.099379692,5-phenylpentanoic acid,5-phenylvaleric acid,2270-20-4,OC(=O)CCCCC1=CC=CC=C1,"InChI=1S/C11H14O2/c12-11(13)9-5-4-8-10-6-2-1-3-7-10/h1-3,6-7H,4-5,8-9H2,(H,12,13)",BYHDDXPKOZIZRV-UHFFFAOYSA-N
42,HMDB0002127,3-Mercaptolactic acid,C3H6O3S,122.143,122.003764748,2-hydroxy-3-sulfanylpropanoic acid,β-mercaptolactic acid,2614-83-7,OC(CS)C(O)=O,"InChI=1S/C3H6O3S/c4-2(1-7)3(5)6/h2,4,7H,1H2,(H,5,6)",OLQOVQTWRIJPRE-UHFFFAOYSA-N
43,HMDB0002135,S-(3-Oxo-3-carboxy-n-propyl)cysteine,C7H11NO5S,221.23,221.035793632,4-{[(2R)-2-amino-2-carboxyethyl]sulfanyl}-2-oxobutanoic acid,4-{[(2R)-2-amino-2-carboxyethyl]sulfanyl}-2-oxobutanoic acid,87458-26-2,N[C@@H](CSCCC(=O)C(O)=O)C(O)=O,"InChI=1S/C7H11NO5S/c8-4(6(10)11)3-14-2-1-5(9)7(12)13/h4H,1-3,8H2,(H,10,11)(H,12,13)/t4-/m0/s1",MXVUEJUCBIAFCN-BYPYZUCNSA-N
44,HMDB0002169,S-(2-carboxypropyl)-Cysteamine,C6H13NO2S,163.238,163.066699355,3-[(2-aminoethyl)sulfanyl]-2-methylpropanoic acid,S-(2-carboxypropyl)cysteamine,80186-81-8,CC(CSCCN)C(O)=O,"InChI=1S/C6H13NO2S/c1-5(6(8)9)4-10-3-2-7/h5H,2-4,7H2,1H3,(H,8,9)",UFRVABODKAYFCB-UHFFFAOYSA-N
45,HMDB0002214,Cuminaldehyde,C10H12O,148.205,148.088815006,4-(propan-2-yl)benzaldehyde,cuminaldehyde,122-03-2,[H]C(=O)C1=CC=C(C=C1)C(C)C,"InChI=1S/C10H12O/c1-8(2)10-5-3-9(7-11)4-6-10/h3-8H,1-2H3",WTWBUQJHJGUZCY-UHFFFAOYSA-N
46,HMDB0002266,(E)-2-Methylglutaconic acid,C6H8O4,144.1253,144.042258744,(2E)-2-methylpent-2-enedioic acid,2E-methyl-glutaconic acid,53358-21-7,C\C(=C/CC(O)=O)C(O)=O,"InChI=1S/C6H8O4/c1-4(6(9)10)2-3-5(7)8/h2H,3H2,1H3,(H,7,8)(H,9,10)/b4-2+",JKGHDBJDBRBRNA-DUXPYHPUSA-N
47,HMDB0002285,2-Indolecarboxylic acid,C9H7NO2,161.1574,161.047678473,1H-indole-2-carboxylic acid,indole-2-carboxylic acid,1477-50-5,OC(=O)C1=CC2=C(N1)C=CC=C2,"InChI=1S/C9H7NO2/c11-9(12)8-5-6-3-1-2-4-7(6)10-8/h1-5,10H,(H,11,12)",HCUARRIEZVDMPT-UHFFFAOYSA-N
