,Study ID,Study Summary,Sample Source,Species,disease
17,ST001190,"Rationale: Sepsis is a multi-organ disease affecting the ileum and jejunum (small intestine),liver, ""skeletal muscle, and lung clinically. Recently, specific alterations in circulating metabolites have been found in patients with sepsis which are thought to contribute to the pathogenesis of disease. The specific metabolic ""changes in the ileum, jejunum, liver, skeletal muscle, and lung have not previously been investigated."" Methods: Live Pseudomonas aeruginosa isolated from a patient was given via IV catheter to pigs "" to induce severe sepsis. Eighteen hours later, ileum, jejunum, medial gastrocnemius skeletal muscle, liver, "" and lung were harvested and flash frozen. Tissues were subsequently processed for non-targeted metabolomics analysis using gas chromatography/mass spectrometry. ""Results: After 18 hours of sepsis, the ileum and the liver demonstrated significant changes in "" ""metabolites involved in linoleic acid metabolism, the ileum and lung had significant changes in "" ""valine/leucine/isoleucine metabolism, the jejunum, skeletal muscle, and liver had significant changes in "" ""arginine/ proline metabolism, and the skeletal muscle and lung had significant changes in aminoacyl-tRNA "" biosynthesis by pathway analysis. Pathway analysis also identified changes in metabolic pathways unique for ""different tissues, including changes in the citric acid cycle (jejunum), beta-alanine metabolism (skeletal muscle), and purine metabolism (liver)."" Conclusion: These findings demonstrate both overlapping metabolic pathways affected in different tissues and those that are unique to others and provide insight into the metabolic changes in sepsis leading to organ dysfunction. This may allow therapeutic interventions that focus on multiple tissues or single tissues once the relationship of the altered metabolites/metabolism to the underlying pathogenesis of sepsis is determined.","['Ileum', 'Jejunum', 'Liver', 'Lung', 'Muscle']",Pig,Sepsis
18,ST001190,"Rationale: Sepsis is a multi-organ disease affecting the ileum and jejunum (small intestine),liver, ""skeletal muscle, and lung clinically. Recently, specific alterations in circulating metabolites have been found in patients with sepsis which are thought to contribute to the pathogenesis of disease. The specific metabolic ""changes in the ileum, jejunum, liver, skeletal muscle, and lung have not previously been investigated."" Methods: Live Pseudomonas aeruginosa isolated from a patient was given via IV catheter to pigs "" to induce severe sepsis. Eighteen hours later, ileum, jejunum, medial gastrocnemius skeletal muscle, liver, "" and lung were harvested and flash frozen. Tissues were subsequently processed for non-targeted metabolomics analysis using gas chromatography/mass spectrometry. ""Results: After 18 hours of sepsis, the ileum and the liver demonstrated significant changes in "" ""metabolites involved in linoleic acid metabolism, the ileum and lung had significant changes in "" ""valine/leucine/isoleucine metabolism, the jejunum, skeletal muscle, and liver had significant changes in "" ""arginine/ proline metabolism, and the skeletal muscle and lung had significant changes in aminoacyl-tRNA "" biosynthesis by pathway analysis. Pathway analysis also identified changes in metabolic pathways unique for ""different tissues, including changes in the citric acid cycle (jejunum), beta-alanine metabolism (skeletal muscle), and purine metabolism (liver)."" Conclusion: These findings demonstrate both overlapping metabolic pathways affected in different tissues and those that are unique to others and provide insight into the metabolic changes in sepsis leading to organ dysfunction. This may allow therapeutic interventions that focus on multiple tissues or single tissues once the relationship of the altered metabolites/metabolism to the underlying pathogenesis of sepsis is determined.","['Ileum', 'Jejunum', 'Liver', 'Lung', 'Muscle']",Pig,Sepsis
19,ST001190,"Rationale: Sepsis is a multi-organ disease affecting the ileum and jejunum (small intestine),liver, ""skeletal muscle, and lung clinically. Recently, specific alterations in circulating metabolites have been found in patients with sepsis which are thought to contribute to the pathogenesis of disease. The specific metabolic ""changes in the ileum, jejunum, liver, skeletal muscle, and lung have not previously been investigated."" Methods: Live Pseudomonas aeruginosa isolated from a patient was given via IV catheter to pigs "" to induce severe sepsis. Eighteen hours later, ileum, jejunum, medial gastrocnemius skeletal muscle, liver, "" and lung were harvested and flash frozen. Tissues were subsequently processed for non-targeted metabolomics analysis using gas chromatography/mass spectrometry. ""Results: After 18 hours of sepsis, the ileum and the liver demonstrated significant changes in "" ""metabolites involved in linoleic acid metabolism, the ileum and lung had significant changes in "" ""valine/leucine/isoleucine metabolism, the jejunum, skeletal muscle, and liver had significant changes in "" ""arginine/ proline metabolism, and the skeletal muscle and lung had significant changes in aminoacyl-tRNA "" biosynthesis by pathway analysis. Pathway analysis also identified changes in metabolic pathways unique for ""different tissues, including changes in the citric acid cycle (jejunum), beta-alanine metabolism (skeletal muscle), and purine metabolism (liver)."" Conclusion: These findings demonstrate both overlapping metabolic pathways affected in different tissues and those that are unique to others and provide insight into the metabolic changes in sepsis leading to organ dysfunction. This may allow therapeutic interventions that focus on multiple tissues or single tissues once the relationship of the altered metabolites/metabolism to the underlying pathogenesis of sepsis is determined.","['Ileum', 'Jejunum', 'Liver', 'Lung', 'Muscle']",Pig,Sepsis
20,ST000025,"The purpose of this study was to examine the metabolic profiles of mayfly (Centroptilum triangulifer) larvae subjected to thermal challenge. This species is unusual in terms of its ease of culture, and its suitability as a laboratory test organism. Our purpose here was to examine how an environmentally realistic thermal challenge affects the physiology of this organism. In this study, we obtained several types of insect species and we were able to show that GC-MS Metabolomics could be used to distinguish among the different types of larvae.<br>",Whole insect,"['Athorix', 'Mayfly']",
21,ST000048,"This application requests funding to access state-of-the-art metabolomics and lipidomic platforms at the NIH West Coast Metabolomics Center to analyze plasma samples from recent insulin and glucagon-like peptide-1 (GLP-1) infusion experiments performed in prolong-fasted elephant seals. This suite of studies was designed to better assess the mechanisms contributing to the onset of an insulin resistantlike condition induced by prolonged food deprivation/starvation in mammals. Because elephant seals have evolved robust physiological mechanisms that have allowed them to naturally tolerate such protracted bouts of fasting, they provide an ideal model to address our central hypothesis that increased lipid utilization late in the fast contributes to insulin resistance in elephant seals. Insulin resistance is a common consequence of fasting in mammals and, while the mechanisms by which it manifests are still unclear, a metabolic shift favoring increased mobilization and utilization of lipids during prolonged food deprivation may be a principal causative factor. Insulin resistance has a negative connotation due to its association with obesity and diabetes among humans, but it has been suggested to be an adaptive response to food deprivation.",Blood,Seal,Diabetes
22,ST000054,"The purpose of this study was to understand the metabolomic changes in a breast tissue microenvironment at various stages of cancer development and progression (i.e. normal breast, DCIS, and invasive cancer).  The goal of this metabolomics pilot and feasibility study was to apply a broad spectrum GC-MS metabolomics method to determine whether changes in normal tissue of women with cancer correlate with progression and or the subtype of the disease.",Breast,Human,Cancer
23,ST000058,"This West Coast Metabolomics Center pilot and feasibility project  granted to  Peter Kaiser (UC Irvine), aims to achieve understanding of a unique metabolic dependence of cancer cells to explore development of novel unconventional therapeutic strategies that exploit dependence of cancer cells on methyl-donor abundance. The past few years have highlighted the role of altered metabolism in cancer. While mechanistic insight into changed metabolism in cancer is very limited, the importance of the metabolic pathway surrounding homocysteine and methionine for cancer cell proliferation has been known for over 30 years.<br>These findings, generally summarized as methionine-dependence or methionine stress sensitivity, describe the phenomenon that most cancer cells cannot proliferate in growth medium where the amino acid methionine is replaced with its direct metabolic precursor homocysteine. Importantly, non-tumorigenic cells are unaffected by replacing methionine with homocysteine in the growth medium. For the past years we have been studying methionine dependence of breast and prostate cancer and demonstrated that methionine-dependence is caused by insufficient flux through this pathway to sustain synthesis of the downstream metabolite and the principal methyl-donor S-adenosylmethionine (SAM).<br>We have isolated rare cell clones from MDA-MB468 breast cancer cells (referred to as MB468RES) that are no longer methionine dependent and proliferate in homocysteine medium. Interestingly, MB468RES have lost their ability for anchorage independent growth, a hallmark of cancer. The MB468 and MB468RES cell line pair confirms other observations showing that methionine dependence is tightly linked to tumorigenicity. Importantly, this cell line pair is an ideal model to identify metabolite signatures linked to cancer cell methionine dependence. We propose to characterize the metabolic changes triggered by the shift from normal growth medium to homocysteine medium in MB468 breast cancer cells and the methionine stress insensitive MB468RES derivatives. In addition we have developed cancer cell lines with inducible shRNAs targeting methionine adenosyltransferase (MAT), the enzyme catalyzing synthesis of SAM from methionine and ATP. Inducible knockdown of MAT allows us to specifically reduce SAM synthesis. Our previous results suggest that SAM limitation is the critical trigger for cancer cell methionine dependence. Thus metabolite profiling using the MAT knockdown system will provide an independent dataset that together with metabolite profiles from the MB468 and MB468RES cell line pair will define critical metabolic profiles related to cancer cell methionine dependence.<br> <br>In the current investigation, untargeted analysis of primary metabolites and complex lipids, coupled with quantitative analysis of methionine pathway intermediates (folate and respective derivatives, s-adenosylmethoinine, s-adenosylhomocysteine, choline, betaine) and metabolic flux will be conducted on MB468, MB468RES and MB468shRNA following the switch from methionine containing media to homocysteine containing media over the course of 0, 2, 4, 8, 12, 24 and 48 hours.<br> <br>The primary objectives were to 1) characterize the metabolic response to methionine stress and SAM limitation and 2) correlate the metabolic signatures with cancer cell proliferation arrest and death. <br>",Breast,Human,Cancer
24,ST000061,"This West Coast Metabolomics Center pilot and feasibility project  was granted to  Johanna Lampe (Fred Hutchinson Cancer Research Center at Univ. of Washington, Seattle).  In the current investigation, unbiased profiling of the metabolome and lipidome of adipose tissue samples (visceral(VAT) and subcutaenous (SAT)) and serum of 50 CRC patients, including stages I-IV, from the Fred Hutchinson Cancer Center (Seattle,WA) and the German Cancer Research Center (Heidelberg, Germany) was conducted. The lipidome and metabolome of adipose tissue (VAT/SAT) and serum were analyzed using established UPLC-QTOFMS analysis and GC-TOFMS analyses, respectively.  <br>The primary objectives of this project were to 1) compare the metabolome and lipidome of matched VAT and SAT adipose tissue of n=50 Colorectal Cancer Cell (CRC) patients, 2) characterize the associations between the lipidome and metabolome in adipose tissue (VAT/SAT) and serum of n=50 CRC patients and 3) test the associations between the lipidome/metabolome of VAT and serum with the tumor stage of CRC patients. ",Adipose tissue,Human,
25,ST000063,"This West Coast Metabolomics Center pilot and feasibility project  was granted to  Roel Ophoff (UC Los Angeles ) and  Steve Horwath (UC Los Angeles ) .  Major depressive disorder (MDD) is one of the most debilitating disorders in the United States with a 12-month prevalence of 6.7% in the adult population. The disorder affects millions of Americans daily and is a major health concern with enormous economic cost the society at large. Criteria for MDD diagnosis and treatment are based on various signs and symptoms not always fitting into strict diagnostic categories such as DSM-IV. Despite various known risk factors (such as family history, age, and gender), biological markers supporting diagnosis or prediction of MDD are unavailable. We have collected cerebrospinal fluid (CSF) and peripheral blood of more than 600 subjects from the general population. For each of the participants we also obtained biometric information as well as behavioral trait measures. One of the measures is the Beck Depression Inventory (BDI), a well-established questionnaire for measuring severity of depression. Based on the BDI, roughly 5% of participants suffer from severe depressive symptoms while most of these subjects are not under treatment or receiving any medication for depression<br> <br>In the current investigation, untargeted analysis of primary metabolites was conducted on age and gender matched human cerebrospinal fluid (CSF) and plasma from subjects suffering with MDD ( n=50) and control subjects (n=50). Subjects were diagnosed as having MDD based on the Beck Depression Inventory.<br>The primary objectives of this study were to 1) identify metabolites which discriminate between subjects with and without depression symptoms in the CSF and plasma and 2) how changes correlate between CSF and plasma. ",Cerebrospinal fluid,Human,
26,ST000065,"This West Coast Metabolomics Center pilot and feasibility project  was granted to  Johanna Lampe (Fred Hutchinson Cancer Research Center at Univ. of Washington, Seattle).  In the current investigation, unbiased profiling of the metabolome and lipidome of adipose tissue samples (visceral(VAT) and subcutaenous (SAT)) and serum of 50 CRC patients, including stages I-IV, from the Fred Hutchinson Cancer Center (Seattle,WA) and the German Cancer Research Center (Heidelberg, Germany) was conducted. The lipidome and metabolome of adipose tissue (VAT/SAT) and serum were analyzed using established UPLC-QTOFMS analysis and GC-TOFMS analyses, respectively.  <br>The primary objectives of this project were to 1) compare the metabolome and lipidome of matched VAT and SAT adipose tissue of n=50 Colorectal Cancer Cell (CRC) patients, 2) characterize the associations between the lipidome and metabolome in adipose tissue (VAT/SAT) and serum of n=50 CRC patients and 3) test the associations between the lipidome/metabolome of VAT and serum with the tumor stage of CRC patients. ",Adipose tissue,Human,Cancer
27,ST000083,"The potential for commensal microorganisms indigenous to a host (the microbiome or microbiota) to alter infection outcome by influencing host-pathogen interplay is largely unknown. We used a multi-omics systems approach, incorporating proteomics, metabolomics, glycomics, and metagenomics, to explore the molecular interplay between the murine host, the pathogen Salmonella enterica serovar Typhimurium (S. Typhimurium), and commensal gut microorganisms during intestinal infection with S. Typhimurium. We find proteomic evidence that S. Typhimurium thrives within the infected 129/SvJ mouse gut without antibiotic pre-treatment, inducing inflammation and disrupting the intestinal microbiome (e.g., suppressing Bacteroidetes and Firmicutes while promoting growth of Salmonella and Enterococcus). Alteration of the host microbiome population structure was highly correlated with gut environmental changes, including the accumulation of metabolites normally consumed by commensal microbiota. Finally, the less characterized phase of S. Typhimuriums lifecycle was investigated, and both proteomic and glycomic evidence suggests S. Typhimurium may take advantage of increased fucose moieties to metabolize fucose while growing in the gut. The application of multiple omics measurements to Salmonella-induced intestinal inflammation provides insights into complex molecular strategies employed during pathogenesis between host, pathogen, and the microbiome.",Feces,Mouse,Bacterial infection
28,ST000084,"Macrophages are central players in immune response, manifesting divergent phenotypes to control inflammation and innate immunity through release of cytokines and other signaling factors. Recently, the focus on metabolism has been reemphasized as critical signaling and regulatory pathways of human pathophysiology, ranging from cancer to aging, often converge on metabolic responses. Here, we used genome-scale modeling and multi-omics (transcriptomics, proteomics, and metabolomics) analysis to assess metabolic features that are critical for macrophage activation. A genome-scale metabolic network for the RAW 264.7 cell line was constructed to determine metabolic modulators of activation. Metabolites well-known to be associated with immunoactivation (glucose and arginine) and immunosuppression (tryptophan and vitamin D3) were among the most critical effectors. Intracellular metabolic mechanisms were assessed, identifying a suppressive role for de-novo nucleotide synthesis. Finally, underlying metabolic mechanisms of macrophage activation were identified by analyzing multi-omic data obtained from LPS-stimulated RAW cells in the context of our flux-based predictions. This study demonstrates that the role of metabolism in regulating activation may be greater than previously anticipated and elucidates underlying connections between activation and metabolic effectors. This submission corresponds to the metabolomics data from this study.",Macrophages,Mouse,
29,ST000085,"Salmonella enterica serovar Typhimurium (S. Typhimurium) is a facultative pathogen that uses complex mechanisms to invade and proliferate within mammalian host cells. To investigate possible contributions of metabolic processes to virulence in S. Typhimurium grown under conditions known to induce expression of virulence genes, we used a metabolomics-driven systems biology approach coupled with genome scale modeling. First, we identified distinct metabolite profiles associated with bacteria grown in either rich or virulence-inducing media and report the most comprehensive coverage of the S. Typhimurium metabolome to date. Second, we applied an omics-informed genome scale modeling analysis of the functional consequences of adaptive alterations in S. Typhimurium metabolism during growth under our conditions. Modeling efforts highlighted a decreased cellular capability to both produce and utilize intracellular amino acids during stationary phase culture in virulence conditions, despite significant abundance increases for these molecules as observed by our metabolomics measurements. Furthermore, analyses of omics data in the context of the metabolic model indicated rewiring of the metabolic network to support pathways associated with virulence. For example, cellular concentrations of polyamines were perturbed, as well as the predicted capacity for secretion and uptake.",Bacterial cells,Salmonella,
30,ST000087,"This West Coast Metabolomics Center pilot and feasibility project was granted to Ernst Lengyel  (University of Chicago).<br>The biology of ovarian cancer (OvCa) is clearly distinct from that of most epithelial tumors, in that hematogenous metastases are rare, and ovarian tumors remain confined to the peritoneal cavity. The omentum, a large pad of fat tissue (20x13x3cm) covering the bowel, is the most common site of OvCa metastasis. It consists primarily of adipocytes, which become the principal microenvironment for the OvCa cells. The underlying hypothesis for this application is that, in the presence of adipocytes, the metabolism of OvCa cells is reprogramed and shifts towards lipid utilization, which provides energy that facilitates tumor growth and metastasis. Preliminary results suggest that primary human omental adipocytes secrete cytokines which promote the metastasis of OvCa cells to the omentum and their subsequent invasion. Once metastasis has occurred, OvCa cells induce lipolysis in omental adipocytes, and use the energy derived from these lipids to proliferate.<br>To study the metabolic changes in the tumor microenvironment we have established a 3D organotypic culture of the human omentum using primary human cells established from patient tissue. Metabolic studies will be performed on adipocytes and OvCa cells individually, on conditioned media and on adipocytes and OvCa cells co-cultured in our 3D model, with the goal of arriving at a comprehensive analysis of primary metabolites and lipids in the tumor microenvironment.<br>In the current investigation, untargeted analysis of primary metabolites and complex lipids were conducted on adipocytes and OvCa cells individually, on conditioned media and on adipocytes and OvCa cells co-cultured in our 3D model. Analysis of oxylipins was conducted on conditioned media. To gain better understanding of the dynamic regulation of metabolic pathways we will also perform metabolic flux analysis using labeled cells (13C-glucose, 13C-glutamine) in the 3D culture model.<br>The primary objective of this study is to gain insight into the dynamic interactions between OvCa cells and human adipocytes with the anticipation of elucidating targets of therapeutic intervention. <br><br>",[],Human,Cancer
31,ST000092,"Urease pre-treatment of urine has been utilized since the early 1960s to remove high levels of urea from samples prior to further processing and analysis by gas chromatographymass spectrometry (GCMS). Aside from the obvious depletion or elimination of urea, the effect, if any, of urease pre-treatment on the urinary metabolome has not been studied in detail. Here, we report the results of three separate but related experiments that were designed to assess possible indirect effects of urease pre-treatment on the urinary metabolome as measured by GCMS. In total, 235 GCMS analyses were performed and over 106 identified and 200 unidentified metabolites were quantified across the three experiments. The results showed that data from urease pre-treated samples (1) had the same or lower coefficients of variance among reproducibly detected metabolites, (2) more accurately reflected quantitative differences and the expected ratios among different urine volumes, and (3) increased the number of metabolite identifications. Overall, we observed no negative consequences of urease pre-treatment. In contrast, urease pre-treatment enhanced the ability to distinguish between volume-based and biological sample types compared to no treatment. Taken together, these results show that urease pre-treatment of urine offers multiple beneficial effects that outweigh any artifacts that may be introduced to the data in urinary metabolomics analyses.",Urine,Human,
32,ST000117,"Metabolomics analysis of wild-type S. enterica, single RidA knock-out and triple Rid (ridA Rid2 Rid7) knock-out S.enterica cells",Bacterial cells,"['E. coli', 'Salmonella']",
33,ST000118,"Metabolomics analysis of wild-type S. enterica, single RidA knock-out and triple Rid (ridA Rid2 Rid7) knock-out S.enterica cells",Bacterial cells,"['E. coli', 'Salmonella']",
34,ST000144,"Labeling of cells was carried out in triplicate with each unstimulated sample containing 20e6 cells and stimulated cells containing 12.8e6 cells.  Cells were deprived of glucose or glutamine for 1 h then resuspended in 10mM [13C1,2] D-glucose labeled medium.  At this time cells were also activated with 1 ug/ml anti-CD3 and anti-CD28.  Cells were labeled (and activated) for 12 h when 1 ml of spent medium was collected and cells were resuspended in 200 ul ice cold methanol.  All samples were immediately stored in -80°C.",T-cells,Human,Cancer
35,ST000145,"Cells were deprived of glucose or glutamine for 1 h then resuspended in 10mM [13C1,2] D-glucose labeled or 4 mM [13C5]-U-glutamine labeled medium, respectively.  At this time cells were also activated with 5 ug/ml anti-CD3 and anti-CD28.  Cells were labeled (and activated) for 12 h when samples were spun down, and cells were resuspended in 200 ul ice cold methanol",T-cells,Human,Cancer
36,ST000154,"The human acute lymphoblastic leukemia cell line (Jurkat) was used to isolate a clones based on Noxa expression. JP6 is low Noxa, JP3 is high Noxa. Furthermore, a Noxa expressing plasmid was tranfected and stable clones were selected for a Noxa high model (N5). 10E6 cells were starved of glucose (A) or glutamine (B&C) for 3 hours and then fed 13C 1,2 glucose (A), 15N alpha nitrogen glutamine (B) or 15N amide nitrogen glutamine (C) for 24 hours. Cells were washed 1X in ice cold PBS and resuspended in -20C methanol. Quenched cells were snap frozen and stored at -80. For experiment A we would like to observe the contribution of labeled glucose into the synthesis of amino acids, specifically glycine and serine. For experiment B we are most interested in the nitrogen incorporation into aspartate.  SCB edits: This fluxomics study requires measuring amino acids for M, M+1, M+2, and M+3 prioritizing glycine, serine, aspartate, asparagine, ornithine, citrulline, then as many as possible using a diamond hydride column and LCMS method (see CEvans).",T-cells,Human,
37,ST000189,"Children with Hirschsprung disease (HD) who have a history of enterocolitis (HAEC) have a shift in colonic microbiota, many of which are necessary for short chain fatty acid (SCFA) production. As SCFAs play a critical role in colonic mucosal preservation, we hypothesized that fecal SCFA composition is altered in children with HAEC. Patients between age of 6 weeks and 16 years of age who were undergoing small bowel resection were selected, including those who were either receiving enteral nutrition preoperatively (control group), or those who were without enteral nutrition and receiving total parenteral nutrition (TPN group).  At the time of operation, 100-500µl of effluent from the small bowel lumen was aspirated during the small bowel resection.  The samples were immediately frozen in liquid nitrogen and stored at -80oC.  
Research is published:
http://www.sciencedirect.com/science/article/pii/S0022346815006211
",Feces,Human,Enterocolitis
