accession,name,synonyms,chemical_formula,average_molecular_weight,monisotopic_molecular_weight,iupac_name,traditional_iupac,cas_registry_number,smiles,inchi,inchikey
HMDB0000161,L-Alanine,"(2S)-2-Aminopropanoic acid|(S)-2-Aminopropanoic acid|(S)-Alanine|A|Ala|ALANINE|L-2-Aminopropionic acid|L-Alanin|L-alpha-Alanine|(2S)-2-Aminopropanoate|(S)-2-Aminopropanoate|L-2-Aminopropionate|L-a-Alanine|L-Α-alanine|(S)-(+)-Alanine|(S)-2-Amino-propanoate|(S)-2-Amino-propanoic acid|2-Aminopropanoate|2-Aminopropanoic acid|2-Aminopropionate|2-Aminopropionic acid|2-Ammoniopropanoate|2-Ammoniopropanoic acid|a-Alanine|a-Aminopropionate|a-Aminopropionic acid|alpha-Alanine|alpha-Aminopropanoate|alpha-Aminopropanoic acid|alpha-Aminopropionate|alpha-Aminopropionic acid|L-(+)-Alanine|L-2-Aminopropanoate|L-2-Aminopropanoic acid|L-a-Aminopropionate|L-a-Aminopropionic acid|L-alpha-Aminopropionate|L-alpha-Aminopropionic acid|Abufène|Alanine doms-adrian brand|Alanine, L-isomer|Doms-adrian brand OF alanine|Doms adrian brand OF alanine|L-Isomer alanine|Alanine, L isomer|L Alanine",C3H7NO2,89.0932,89.047678473,(2S)-2-aminopropanoic acid,L-alanine,56-41-7,C[C@H](N)C(O)=O,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1",QNAYBMKLOCPYGJ-REOHCLBHSA-N
HMDB0000162,L-Proline,(-)-(S)-Proline|(-)-2-Pyrrolidinecarboxylic acid|(-)-Proline|(2S)-Pyrrolidine-2-carboxylic acid|(S)-2-Carboxypyrrolidine|(S)-2-Pyrrolidinecarboxylic acid|(S)-Pyrrolidine-2-carboxylic acid|2-Pyrrolidinecarboxylic acid|L-(-)-Proline|L-alpha-Pyrrolidinecarboxylic acid|L-Prolin|L-Pyrrolidine-2-carboxylic acid|P|Prolina|PROLINE|Prolinum|(-)-2-Pyrrolidinecarboxylate|(2S)-Pyrrolidine-2-carboxylate|(S)-2-Pyrrolidinecarboxylate|(S)-Pyrrolidine-2-carboxylate|2-Pyrrolidinecarboxylate|L-a-Pyrrolidinecarboxylate|L-a-Pyrrolidinecarboxylic acid|L-alpha-Pyrrolidinecarboxylate|L-Α-pyrrolidinecarboxylate|L-Α-pyrrolidinecarboxylic acid|L-Pyrrolidine-2-carboxylate|(S)-(-)-Proline|(S)-(-)-Pyrrolidine-2-carboxylate|(S)-(-)-Pyrrolidine-2-carboxylic acid|(S)-2-Pyrralidinecarboxylate|(S)-2-Pyrralidinecarboxylic acid|(S)-Proline|L Proline,C5H9NO2,115.1305,115.063328537,(2S)-pyrrolidine-2-carboxylic acid,L-proline,147-85-3,OC(=O)[C@@H]1CCCN1,"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1",ONIBWKKTOPOVIA-BYPYZUCNSA-N
HMDB0000167,L-Threonine,"(2S)-Threonine|(2S,3R)-(-)-Threonine|(2S,3R)-2-Amino-3-hydroxybutanoic acid|2-Amino-3-hydroxybutyric acid|L-(-)-Threonine|L-2-Amino-3-hydroxybutyric acid|L-alpha-Amino-beta-hydroxybutyric acid|L-Threonin|T|Thr|THREONINE|(2S,3R)-2-Amino-3-hydroxybutanoate|2-Amino-3-hydroxybutyrate|L-2-Amino-3-hydroxybutyrate|L-a-Amino-b-hydroxybutyrate|L-a-Amino-b-hydroxybutyric acid|L-alpha-Amino-beta-hydroxybutyrate|L-Α-amino-β-hydroxybutyrate|L-Α-amino-β-hydroxybutyric acid|(2S,3R)-2-Amino-3-hydroxybutyrate|(2S,3R)-2-Amino-3-hydroxybutyric acid|(R-(R*,s*))-2-amino-3-hydroxybutanoate|(R-(R*,s*))-2-amino-3-hydroxybutanoic acid|(S)-Threonine|2-Amino-3-hydroxybutanoate|2-Amino-3-hydroxybutanoic acid|Threonin|[R-(R*,s*)]-2-amino-3-hydroxy-butanoate|[R-(R*,s*)]-2-amino-3-hydroxy-butanoic acid|[R-(R*,s*)]-2-amino-3-hydroxybutanoate|[R-(R*,s*)]-2-amino-3-hydroxybutanoic acid|L Threonine",C4H9NO3,119.1192,119.058243159,"(2S,3R)-2-amino-3-hydroxybutanoic acid",L-threonine,72-19-5,C[C@@H](O)[C@H](N)C(O)=O,"InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1",AYFVYJQAPQTCCC-GBXIJSLDSA-N
HMDB0000168,L-Asparagine,"(2S)-2,4-Diamino-4-oxobutanoic acid|(2S)-2-Amino-3-carbamoylpropanoic acid|(S)-2-Amino-3-carbamoylpropanoic acid|(S)-Asparagine|2-Aminosuccinamic acid|alpha-Aminosuccinamic acid|Asn|ASPARAGINE|Aspartamic acid|L-2-Aminosuccinamic acid|L-Asparagin|L-Aspartic acid beta-amide|N|(2S)-2,4-Diamino-4-oxobutanoate|(2S)-2-Amino-3-carbamoylpropanoate|(S)-2-Amino-3-carbamoylpropanoate|2-Aminosuccinamate|a-Aminosuccinamate|a-Aminosuccinamic acid|alpha-Aminosuccinamate|Α-aminosuccinamate|Α-aminosuccinamic acid|Aspartamate|L-2-Aminosuccinamate|L-Aspartate b-amide|L-Aspartate beta-amide|L-Aspartate β-amide|L-Aspartic acid b-amide|L-Aspartic acid β-amide|(-)-Asparagine|(S)-2,4-Diamino-4-oxobutanoate|(S)-2,4-Diamino-4-oxobutanoic acid|Agedoite|alpha Amminosuccinamate|alpha Amminosuccinamic acid|Altheine|Asparagine acid|Asparamide|Aspartic acid amide|Aspartic acid b-amide|Aspartic acid beta amide|b2,4-(S)-Diamino-4-oxo-utanoate|b2,4-(S)-Diamino-4-oxo-utanoic acid|Crystal VI|L-2,4-Diamino-4-oxobutanoate|L-2,4-Diamino-4-oxobutanoic acid|L-Aspartamine|L-b-Asparagine|L-beta-Asparagine",C4H8N2O3,132.1179,132.053492132,(2S)-2-amino-3-carbamoylpropanoic acid,L-asparagine,70-47-3,N[C@@H](CC(N)=O)C(O)=O,"InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)/t2-/m0/s1",DCXYFEDJOCDNAF-REOHCLBHSA-N
HMDB0000169,D-Mannose,alpha-D-Man|a-D-Man|α-D-Man|a-D-Mannose|α-D-Mannose|alpha-D-Mannopyranose|a-D-Mannopyranose|α-D-Mannopyranose|(+)-Mannose|Carubinose|D(+)-Mannose|Mannose|Seminose|alpha-D-Mannose|alpha-Mannose|α-Mannose,C6H12O6,180.1559,180.063388116,"(2S,3S,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",α-D-mannose,3458-28-4,OC[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5+,6+/m1/s1",WQZGKKKJIJFFOK-PQMKYFCFSA-N
HMDB0000172,L-Isoleucine,"(2S,3S)-2-Amino-3-methylpentanoic acid|2-Amino-3-methylvaleric acid|alpha-Amino-beta-methylvaleric acid|I|Ile|ISOLEUCINE|(2S,3S)-2-Amino-3-methylpentanoate|2-Amino-3-methylvalerate|a-Amino-b-methylvalerate|a-Amino-b-methylvaleric acid|alpha-Amino-beta-methylvalerate|Α-amino-β-methylvalerate|Α-amino-β-methylvaleric acid|(2S,3S)-2-Amino-3-methyl-pentanoate|(2S,3S)-2-Amino-3-methyl-pentanoic acid|(2S,3S)-a-Amino-b-methyl-N-valerate|(2S,3S)-a-Amino-b-methyl-N-valeric acid|(2S,3S)-a-Amino-b-methylvalerate|(2S,3S)-a-Amino-b-methylvaleric acid|(2S,3S)-Alph-amino-beta-methylvalerate|(2S,3S)-Alph-amino-beta-methylvaleric acid|(2S,3S)-alpha-Amino-beta-merthyl-N-valerate|(2S,3S)-alpha-Amino-beta-merthyl-N-valeric acid|(2S,3S)-alpha-Amino-beta-merthylvalerate|(2S,3S)-alpha-Amino-beta-merthylvaleric acid|(2S,3S)-alpha-Amino-beta-methyl-N-valerate|(2S,3S)-alpha-Amino-beta-methyl-N-valeric acid|(2S,3S)-alpha-Amino-beta-methylvalerate|(2S,3S)-alpha-Amino-beta-methylvaleric acid|(S)-Isoleucine|(S,S)-Isoleucine|2-Amino-3-methylpentanoate|2-Amino-3-methylpentanoic acid|2S,3S-Isoleucine|Erythro-L-isoleucine|Iso-leucine|L-(+)-Isoleucine|L-Ile|[S-(R*,r*)]-2-amino-3-methylpentanoate|[S-(R*,r*)]-2-amino-3-methylpentanoic acid|Isoleucine, L-isomer|Alloisoleucine|Isoleucine, L isomer|L-Isomer isoleucine|2S-Amino-3S-methylpentanoate|L-Isoleucine",C6H13NO2,131.1729,131.094628665,"(2S,3S)-2-amino-3-methylpentanoic acid",L-isoleucine,73-32-5,CC[C@H](C)[C@H](N)C(O)=O,"InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1",AGPKZVBTJJNPAG-WHFBIAKZSA-N
HMDB0000175,Inosinic acid,"2'-Inosine-5'-monophosphate|5'-IMP|5'-Inosinate|5'-Inosine monophosphate|5'-Inosinic acid|Hypoxanthosine 5'-monophosphate|Inosine 5'-monophosphate|Inosine 5'-phosphate|Inosine monophosphate|Ribosylhypoxanthine monophosphate|2'-Inosine-5'-monophosphoric acid|5'-Inosine monophosphoric acid|Hypoxanthosine 5'-monophosphoric acid|Inosine 5'-monophosphoric acid|Inosine 5'-phosphoric acid|Inosine monophosphoric acid|Ribosylhypoxanthine monophosphoric acid|Inosinate|IMP|Inosine-5'-monophosphate|Inosinic acids|Inosinate, sodium|monoPhosphate, inosine|monoPhosphate, ribosylhypoxanthine|Sodium inosinate|Acid, inosinic|Acids, inosinic",C10H13N4O8P,348.206,348.047099924,"{[(2R,3S,4R,5R)-3,4-dihydroxy-5-(6-oxo-6,9-dihydro-1H-purin-9-yl)oxolan-2-yl]methoxy}phosphonic acid",inosine-5'-monophosphate,131-99-7,O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O,"InChI=1S/C10H13N4O8P/c15-6-4(1-21-23(18,19)20)22-10(7(6)16)14-3-13-5-8(14)11-2-12-9(5)17/h2-4,6-7,10,15-16H,1H2,(H,11,12,17)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",GRSZFWQUAKGDAV-KQYNXXCUSA-N
HMDB0000177,L-Histidine,"(S)-4-(2-Amino-2-carboxyethyl)imidazole|(S)-alpha-Amino-1H-imidazole-4-propanoic acid|(S)-alpha-Amino-1H-imidazole-4-propionic acid|H|His|HISTIDINE|L-(-)-Histidine|L-Histidin|(S)-a-Amino-1H-imidazole-4-propanoate|(S)-a-Amino-1H-imidazole-4-propanoic acid|(S)-alpha-Amino-1H-imidazole-4-propanoate|(S)-Α-amino-1H-imidazole-4-propanoate|(S)-Α-amino-1H-imidazole-4-propanoic acid|(S)-a-Amino-1H-imidazole-4-propionate|(S)-a-Amino-1H-imidazole-4-propionic acid|(S)-alpha-Amino-1H-imidazole-4-propionate|(S)-Α-amino-1H-imidazole-4-propionate|(S)-Α-amino-1H-imidazole-4-propionic acid|(S)-1H-Imidazole-4-alanine|(S)-2-Amino-3-(4-imidazolyl)propionsaeure|(S)-Histidine|(S)1H-Imidazole-4-alanine|3-(1H-Imidazol-4-yl)-L-alanine|Amino-1H-imidazole-4-propanoate|Amino-1H-imidazole-4-propanoic acid|Amino-4-imidazoleproprionate|Amino-4-imidazoleproprionic acid|Glyoxaline-5-alanine|Histidine, L isomer|Histidine, L-isomer|L-Isomer histidine|L-Histidine",C6H9N3O2,155.1546,155.069476547,(2S)-2-amino-3-(1H-imidazol-5-yl)propanoic acid,L-histidine,71-00-1,N[C@@H](CC1=CN=CN1)C(O)=O,"InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1",HNDVDQJCIGZPNO-YFKPBYRVSA-N
HMDB0000181,L-Dopa,"(-)-3-(3,4-Dihydroxyphenyl)-L-alanine|(-)-Dopa|3,4-Dihydroxy-L-phenylalanine|3,4-DIHYDROXYPHENYLALANINE|3-Hydroxy-L-tyrosine|beta-(3,4-Dihydroxyphenyl)-L-alanine|beta-(3,4-Dihydroxyphenyl)alanine|Dihydroxy-L-phenylalanine|Dopar|L-beta-(3,4-Dihydroxyphenyl)alanine|Levodopa|Levodopum|b-(3,4-Dihydroxyphenyl)-L-alanine|Β-(3,4-dihydroxyphenyl)-L-alanine|b-(3,4-Dihydroxyphenyl)alanine|Β-(3,4-dihydroxyphenyl)alanine|L-b-(3,4-Dihydroxyphenyl)alanine|L-Β-(3,4-dihydroxyphenyl)alanine|(2S)-2-Amino-3-(3,4-dihydroxyphenyl)propanoate|(2S)-2-Amino-3-(3,4-dihydroxyphenyl)propanoic acid|3,4-Dihydroxyphenyl-L-alanine|3-(3,4-Dihydroxyphenyl)-L-alanine|b-(3,4-Dihydroxyphenyl)-a-L-alanine|Bendopa|beta-(3,4-Dihydroxyphenyl)-alpha-L-alanine|Cidandopa|Dihydroxyphenylalanine|Dopaflex|Dopaidan|Dopal|Dopalina|Doparkine|Doparl|Dopasol|Dopaston|Dopastone|Dopastral|Dopicar|Doprin|Eldopal|Eldopar|Eldopatec|Eurodopa|Helfo-dopa|Insulamina|L-(-)-Dopa|L-3-(3,4-Dihydroxyphenyl)-alanine|L-4-5-Dihydroxyphenylalanine|L-b-(3,4-Dihydroxyphenyl)-a-alanine|L-beta-(3,4-Dihydroxyphenyl)-alpha-alanine|L-Dihydroxyphenylalanine|Laradopa|Larodopa|Ledopa|Levedopa|Levopa|Maipedopa|Parda|Pardopa|Prodopa|Syndopa|Veldopa|Weldopa|3 Hydroxy L tyrosine|Roche brand OF levodopa|L 3,4 Dihydroxyphenylalanine|L-3,4-Dihydroxyphenylalanine|Medphano brand OF levodopa|L Dopa|Roberts brand OF levodopa",C9H11NO4,197.1879,197.068807845,"(2S)-2-amino-3-(3,4-dihydroxyphenyl)propanoic acid",levodopa,59-92-7,N[C@@H](CC1=CC=C(O)C(O)=C1)C(O)=O,"InChI=1S/C9H11NO4/c10-6(9(13)14)3-5-1-2-7(11)8(12)4-5/h1-2,4,6,11-12H,3,10H2,(H,13,14)/t6-/m0/s1",WTDRDQBEARUVNC-LURJTMIESA-N
HMDB0000182,L-Lysine,"(S)-2,6-Diaminohexanoic acid|(S)-alpha,epsilon-Diaminocaproic acid|(S)-Lysine|6-Ammonio-L-norleucine|K|L-2,6-Diaminocaproic acid|L-Lysin|Lys|Lysina|Lysine|Lysine acid|Lysinum|2,6-Diaminohexanoic acid|(S)-2,6-Diaminohexanoate|(S)-a,epsilon-Diaminocaproate|(S)-a,epsilon-Diaminocaproic acid|(S)-alpha,epsilon-Diaminocaproate|(S)-Α,epsilon-diaminocaproate|(S)-Α,epsilon-diaminocaproic acid|L-2,6-Diaminocaproate|2,6-Diaminohexanoate|(+)-S-Lysine|(S)-2,6-Diamino-hexanoate|(S)-2,6-Diamino-hexanoic acid|(S)-a,e-Diaminocaproate|(S)-a,e-Diaminocaproic acid|6-Amino-aminutrin|6-Amino-L-norleucine|a-Lysine|alpha-Lysine|Aminutrin|H-Lys-OH|L-(+)-Lysine|L-2,6-Diainohexanoate|L-2,6-Diainohexanoic acid|L-Lys|Acetate, lysine|Enisyl|Lysine hydrochloride|L Lysine|Lysine acetate",C6H14N2O2,146.1876,146.105527702,"(2S)-2,6-diaminohexanoic acid",L-lysine,56-87-1,NCCCC[C@H](N)C(O)=O,"InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/t5-/m0/s1",KDXKERNSBIXSRK-YFKPBYRVSA-N
HMDB0000187,L-Serine,"(2S)-2-Amino-3-hydroxypropanoic acid|(S)-(-)-Serine|(S)-2-Amino-3-hydroxypropanoic acid|(S)-alpha-Amino-beta-hydroxypropionic acid|(S)-Serine|beta-Hydroxy-L-alanine|beta-Hydroxyalanine|L-(-)-Serine|L-2-Amino-3-hydroxypropionic acid|L-3-Hydroxy-2-aminopropionic acid|L-3-Hydroxy-alanine|L-Ser|L-Serin|S|Ser|SERINE|(2S)-2-Amino-3-hydroxypropanoate|(S)-2-Amino-3-hydroxypropanoate|(S)-a-Amino-b-hydroxypropionate|(S)-a-Amino-b-hydroxypropionic acid|(S)-alpha-Amino-beta-hydroxypropionate|(S)-Α-amino-β-hydroxypropionate|(S)-Α-amino-β-hydroxypropionic acid|b-Hydroxy-L-alanine|Β-hydroxy-L-alanine|b-Hydroxyalanine|Β-hydroxyalanine|L-2-Amino-3-hydroxypropionate|L-3-Hydroxy-2-aminopropionate|(-)-Serine|(S)-2-Amino-3-hydroxy-propanoate|(S)-2-Amino-3-hydroxy-propanoic acid|(S)-b-Amino-3-hydroxypropionate|(S)-b-Amino-3-hydroxypropionic acid|(S)-beta-Amino-3-hydroxypropionate|(S)-beta-Amino-3-hydroxypropionic acid|2-Amino-3-hydroxypropanoate|2-Amino-3-hydroxypropanoic acid|3-Hydroxy-L-alanine|L Serine|(3R,3'r,6S)-4,5-DIDEHYDRO-5,6-dihydro-BETA,BETA-carotene-3,3'-diol|Bo-xan|e 161b|Xanthophyll|(3R,3'r,6S)-4,5-DIDEHYDRO-5,6-dihydro-b,b-carotene-3,3'-diol|(3R,3'r,6S)-4,5-DIDEHYDRO-5,6-dihydro-β,β-carotene-3,3'-diol",C3H7NO3,105.0926,105.042593095,(2S)-2-amino-3-hydroxypropanoic acid,L-serine,56-45-1,N[C@@H](CO)C(O)=O,"InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)/t2-/m0/s1",MTCFGRXMJLQNBG-REOHCLBHSA-N
HMDB0000190,L-Lactic acid,"(+)-Lactic acid|(S)-(+)-Lactic acid|(S)-2-Hydroxypropanoic acid|(S)-2-Hydroxypropionic acid|L-(+)-alpha-Hydroxypropionic acid|L-(+)-Lactic acid|L-Milchsaeure|L-Lactate|(+)-Lactate|(S)-(+)-Lactate|(S)-2-Hydroxypropanoate|(S)-2-Hydroxypropionate|L-(+)-a-Hydroxypropionate|L-(+)-a-Hydroxypropionic acid|L-(+)-alpha-Hydroxypropionate|L-(+)-Α-hydroxypropionate|L-(+)-Α-hydroxypropionic acid|L-(+)-Lactate|(alpha)-Lactate|(alpha)-Lactic acid|(S)-(+)-2-Hydroxypropanoate|(S)-(+)-2-Hydroxypropanoic acid|(S)-2-Hydroxy-propanoate|(S)-2-Hydroxy-propanoic acid|(S)-Lactate|(S)-Lactic acid|1-Hydroxyethane 1-carboxylate|1-Hydroxyethane 1-carboxylic acid|1-Hydroxyethanecarboxylate|1-Hydroxyethanecarboxylic acid|2-Hydroxypropanoate|2-Hydroxypropanoic acid|2-Hydroxypropionate|a-Hydroxypropanoate|a-Hydroxypropanoic acid|a-Hydroxypropionate|a-Hydroxypropionic acid|alpha-Hydroxypropanoate|alpha-Hydroxypropanoic acid|alpha-Hydroxypropionate|alpha-Hydroxypropionic acid|L-(+)- Lactic acid|L-2-Hydroxypropanoate|L-2-Hydroxypropanoic acid|Lactate|Lactic acid|Milk acid|Sarcolactic acid|2-Hydroxypropionic acid|D-Lactic acid|D Lactic acid|Lactate, ammonium|2 Hydroxypropanoic acid|2 Hydroxypropionic acid|Ammonium lactate|L Lactic acid|D-Lactate|L-Lactic acid",C3H6O3,90.0779,90.031694058,(2S)-2-hydroxypropanoic acid,(α)-lactate,79-33-4,C[C@H](O)C(O)=O,"InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)/t2-/m0/s1",JVTAAEKCZFNVCJ-REOHCLBHSA-N
HMDB0000191,L-Aspartic acid,"(S)-2-Aminobutanedioic acid|(S)-2-Aminosuccinic acid|2-Aminosuccinic acid|Asp|ASPARTIC ACID|D|L-Asparaginsaeure|L-Asp|(S)-2-Aminobutanedioate|(S)-2-Aminosuccinate|2-Aminosuccinate|ASPARTate|L-Aspartate|(+)-Aspartate|(+)-Aspartic acid|(2S)-Aspartate|(2S)-Aspartic acid|(L)-Aspartate|(L)-Aspartic acid|(R)-2-Aminosuccinate|(S)-(+)-Aspartate|(S)-(+)-Aspartic acid|(S)-Amino-butanedioate|(S)-Amino-butanedioic acid|(S)-Aminobutanedioate|(S)-Aminobutanedioic acid|(S)-Aspartate|(S)-Aspartic acid|2-Amino-3-methylsuccinate|2-Amino-3-methylsuccinic acid|alpha-Aminosuccinate|alpha-Aminosuccinic acid|Aminosuccinate|Asparagate|Asparagic acid|Asparaginate|Asparaginic acid|Asparatate|H-Asp-OH|L-(+)-Aspartate|L-(+)-Aspartic acid|L-Aminosuccinate|L-Aminosuccinic acid|L-Asparagate|L-Asparagic acid|L-Asparaginate|L-Asparaginic acid|(+-)-Aspartic acid|(R,S)-Aspartic acid|Aspartate, disodium|Aspartate, magnesium|Aspartate, monopotassium|Aspartic acid, dipotassium salt|Aspartic acid, hydrobromide|Aspartic acid, monopotassium salt|Aspartic acid, monosodium salt|Aspartic acid, potassium salt|L Aspartate|MG5Longoral|Potassium aspartate|Polysuccinimide|Ammonium aspartate|Aspartate, ammonium|Aspartate, calcium|Aspartate, monosodium|Aspartic acid, calcium salt|Aspartic acid, disodium salt|Aspartic acid, magnesium (1:1) salt, hydrochloride, trihydrate|Dipotassium aspartate|Disodium aspartate|Hydrochloride, aspartate magnesium|Monopotassium aspartate|Sodium aspartate|Aspartate, dipotassium|Aspartic acid, magnesium (2:1) salt|Aspartic acid, sodium salt|Hydrobromide aspartic acid|Magnesium aspartate|MG 5 Longoral|Monosodium aspartate|Aspartate magnesium hydrochloride|Aspartate, potassium|Aspartate, sodium|Aspartic acid, ammonium salt|Aspartic acid, hydrochloride|Aspartic acid, magnesium-potassium (2:1:2) salt|Calcium aspartate|Hydrochloride aspartic acid|L Aspartic acid|Magnesiocard|MG-5-Longoral|Poly-DL-succinimide",C4H7NO4,133.1027,133.037507717,(2S)-2-aminobutanedioic acid,L-aspartic acid,56-84-8,N[C@@H](CC(O)=O)C(O)=O,"InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m0/s1",CKLJMWTZIZZHCS-REOHCLBHSA-N
HMDB0000192,L-Cystine,"(R,R)-3,3'-Dithiobis(2-aminopropanoic acid)|(R-(R*,r*))-3,3'-dithiobis(2-aminopropanoic acid)|3,3'-Dithiobis-L-alanine|beta,Beta'-diamino-beta,beta'-dicarboxydiethyl disulfide|beta,Beta'-dithiodialanine|Bis(beta-amino-beta-carboxyethyl) disulfide|e921|L-alpha-Diamino-beta-dithiolactic acid|L-Dicysteine|Oxidized L-cysteine|(R,R)-3,3'-Dithiobis(2-aminopropanoate)|(R-(R*,r*))-3,3'-dithiobis(2-aminopropanoate)|b,Beta'-diamino-b,beta'-dicarboxydiethyl disulfide|b,Beta'-diamino-b,beta'-dicarboxydiethyl disulphide|beta,Beta'-diamino-beta,beta'-dicarboxydiethyl disulphide|Β,beta'-diamino-β,beta'-dicarboxydiethyl disulfide|Β,beta'-diamino-β,beta'-dicarboxydiethyl disulphide|b,Beta'-dithiodialanine|Β,beta'-dithiodialanine|Bis(b-amino-b-carboxyethyl) disulfide|Bis(b-amino-b-carboxyethyl) disulphide|Bis(beta-amino-beta-carboxyethyl) disulphide|Bis(β-amino-β-carboxyethyl) disulfide|Bis(β-amino-β-carboxyethyl) disulphide|L-a-Diamino-b-dithiolactate|L-a-Diamino-b-dithiolactic acid|L-alpha-Diamino-beta-dithiolactate|L-Α-diamino-β-dithiolactate|L-Α-diamino-β-dithiolactic acid|(-)-Cystine|(R-(R*,r*))-3,3'-dithiobis|2-Amino-3-(2-amino-2-carboxy-ethyl)disulfanyl-propanoate|2-Amino-3-(2-amino-2-carboxy-ethyl)disulfanyl-propanoic acid|2-Amino-3-[(2-amino-2-carboxyethyl)dithio]propanoate|2-Amino-3-[(2-amino-2-carboxyethyl)dithio]propanoic acid|3,3'-Dithiobis|3,3'-Dithiobis[2-amino-[R-(r*,r*)]-propanoate|3,3'-Dithiobis[2-amino-[R-(r*,r*)]-propanoic acid|3,3'-Dithiodialanine|b,B'-diamino-b,b'-dicarboxydiethyl disulfide|b,B'-dithiodialanine|beta,Beta'-dithiobisalanine|Bis(b-amino-beta-carboxyethyl) disulfide|Cysteine disulfide|Cystin|Cystine|Cystine acid|D(+)-3,3'-Dithiobis(2-aminopropanoate|D(+)-3,3'-Dithiobis(2-aminopropanoic acid|Dicysteine|Gelucystine|L-(-)-Cystine|L-Cysteine disulfide|L-Cystin|[R-(R*,r*)]-3,3'-dithiobis|L Cystine|Copper cystinate|L-Cystine",C6H12N2O4S2,240.3,240.023848262,(2R)-2-amino-3-{[(2R)-2-amino-2-carboxyethyl]disulfanyl}propanoic acid,L-cystine,56-89-3,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,"InChI=1S/C6H12N2O4S2/c7-3(5(9)10)1-13-14-2-4(8)6(11)12/h3-4H,1-2,7-8H2,(H,9,10)(H,11,12)/t3-,4-/m0/s1",LEVWYRKDKASIDU-IMJSIDKUSA-N
HMDB0000193,Isocitric acid,"1-Hydroxypropane-1,2,3-tricarboxylic acid|1-Hydroxytricarballylic acid|1-Hydroxypropane-1,2,3-tricarboxylate|1-Hydroxytricarballylate|Isocitrate|1-Hydroxy-1,2,3-propanetricarboxylate|1-Hydroxy-1,2,3-propanetricarboxylic acid|3-Carboxy-2,3-dideoxy-1-hydroxypropan-1,2,3-tricarboxylate|3-Carboxy-2,3-dideoxy-1-hydroxypropan-1,2,3-tricarboxylic acid|3-Carboxy-2,3-dideoxy-pentarate|3-Carboxy-2,3-dideoxy-pentaric acid|D-Isocitrate|I-cit|Threo-D(S)-iso-citrate|Threo-DS-isocitrate|Isocitric acid, sodium salt|Isocitric acid, trisodium salt|Isocitric acid, disodium salt|Isocitric acid, (11)C-labeled|Isocitric acid, calcium salt|Isocitric acid, potassium salt",C6H8O7,192.1235,192.02700261,"1-hydroxypropane-1,2,3-tricarboxylic acid",isocitric acid,320-77-4,OC(C(CC(O)=O)C(O)=O)C(O)=O,"InChI=1S/C6H8O7/c7-3(8)1-2(5(10)11)4(9)6(12)13/h2,4,9H,1H2,(H,7,8)(H,10,11)(H,12,13)",ODBLHEXUDAPZAU-UHFFFAOYSA-N
