pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Tryptophan metabolism	0	1	0.11587261574657592			
Glyoxylate and Dicarboxylate Metabolism	0	2	0.11587261574657592			
Urea cycle/amino group metabolism	0	2	0.11587261574657592			
De novo fatty acid biosynthesis	0	1	0.11587261574657592			
Vitamin A (retinol) metabolism	0	0	0.11587261574657592			
Valine, leucine and isoleucine degradation	0	1	0.11587261574657592			
Fatty Acid Metabolism	0	1	0.11587261574657592			
Glycosaminoglycan degradation	0	0	0.11587261574657592			
Fatty acid oxidation	0	0	0.11587261574657592			
Fructose and mannose metabolism	0	2	0.11587261574657592			
ROS Detoxification	0	0	0.11587261574657592			
Xenobiotics metabolism	0	0	0.11587261574657592			
Saturated fatty acids beta-oxidation	0	0	0.11587261574657592			
CoA Catabolism	0	0	0.11587261574657592			
Omega-3 fatty acid metabolism	0	0	0.11587261574657592			
Butanoate metabolism	0	0	0.11587261574657592			
Mono-unsaturated fatty acid beta-oxidation	0	0	0.11587261574657592			
Glycosphingolipid biosynthesis - neolactoseries	0	0	0.11587261574657592			
Vitamin B3 (nicotinate and nicotinamide) metabolism	0	0	0.11587261574657592			
Ascorbate (Vitamin C) and Aldarate Metabolism	0	0	0.11587261574657592			
Geraniol degradation	0	0	0.11587261574657592			
D4&E4-neuroprostanes formation	0	0	0.11587261574657592			
Vitamin D	0	0	0.11587261574657592			
Dynorphin metabolism	0	0	0.11587261574657592			
Heparan sulfate degradation	0	0	0.11587261574657592			
Fatty acid oxidation, peroxisome	0	0	0.11587261574657592			
Polyunsaturated fatty acid biosynthesis	0	0	0.11587261574657592			
Alanine and Aspartate Metabolism	0	1	0.11587261574657592			
Glutathione Metabolism	0	0	0.11587261574657592			
Keratan sulfate biosynthesis	0	0	0.11587261574657592			
TCA cycle	0	4	0.11587261574657592			
3-Chloroacrylic acid degradation	0	0	0.11587261574657592			
Arachidonic acid metabolism	0	0	0.11587261574657592			
Sphingolipid metabolism	0	0	0.11587261574657592			
O-Glycan biosynthesis	0	0	0.11587261574657592			
Glycosphingolipid metabolism	0	0	0.11587261574657592			
Limonene and pinene degradation	0	0	0.11587261574657592			
Arginine and Proline Metabolism	0	2	0.11587261574657592			
Proteoglycan biosynthesis	0	0	0.11587261574657592			
Vitamin K metabolism	0	0	0.11587261574657592			
Glycerophospholipid metabolism	0	0	0.11587261574657592			
Glutamate metabolism	0	1	0.11587261574657592			
Porphyrin metabolism	0	0	0.11587261574657592			
Phosphatidylinositol phosphate metabolism	0	1	0.11587261574657592			
Benzoate degradation via CoA ligation	0	0	0.11587261574657592			
Prostaglandin formation from arachidonate	0	0	0.11587261574657592			
Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation	0	0	0.11587261574657592			
Vitamin B6 (pyridoxine) metabolism	0	0	0.11587261574657592			
Atrazine degradation	0	0	0.11587261574657592			
N-Glycan Degradation	0	0	0.11587261574657592			
Leukotriene metabolism	0	0	0.11587261574657592			
Vitamin B12 (cyanocobalamin) metabolism	0	0	0.11587261574657592			
Fatty acid activation	0	0	0.11587261574657592			
Carbon fixation	0	2	0.11587261574657592			
Nucleotide Sugar Metabolism	0	1	0.11587261574657592			
Ubiquinone Biosynthesis	0	0	0.11587261574657592			
1- and 2-Methylnaphthalene degradation	0	0	0.11587261574657592			
Aspartate and asparagine metabolism	0	0	0.11587261574657592			
Nitrogen metabolism	0	0	0.11587261574657592			
Drug metabolism - other enzymes	0	0	0.11587261574657592			
Aminosugars metabolism	0	1	0.11587261574657592			
Tyrosine metabolism	0	2	0.11587261574657592			
Beta-Alanine metabolism	0	0	0.11587261574657592			
Prostaglandin formation from dihomo gama-linoleic acid	0	0	0.11587261574657592			
C21-steroid hormone biosynthesis and metabolism	0	0	0.11587261574657592			
Starch and Sucrose Metabolism	0	0	0.11587261574657592			
Trihydroxycoprostanoyl-CoA beta-oxidation	0	0	0.11587261574657592			
Omega-6 fatty acid metabolism	0	0	0.11587261574657592			
Phytanic acid peroxisomal oxidation	0	0	0.11587261574657592			
Pentose phosphate pathway	0	1	0.11587261574657592			
Methionine and cysteine metabolism	0	3	0.11587261574657592			
Lysine metabolism	0	0	0.11587261574657592			
