Unknown,uInChIKey,Rank,Library,Id,Mass,Lib MW,Score,Dot Product,Prob(%),Peptide,Charge,Formula,Prec.Type,FlankRes,Mods,Pep,CAS,NIST r.n.,InChIKey,Nreps,Tfratio,Protein
#979 373.1181@34.533 MS1+ [Scan #3955 @34.5413 MS2 +],,1,hr_msms_nist,294563,372.114,372,892,892,98.8,"2,4-Thiazolidinedione, 5-[[4-[2-(5-ethyl-2-pyridinyl)-2-hydroxyethoxy]phenyl]methyl]-",1,C19H20N2O4S,[M+H]+,,,,101931004,1505027,RMTFRGFLVHAYCI-UHFFFAOYSA-N,,,
#991 487.1801@10.564 MS1+ [Scan #1259 @10.4688 MS2 +],,1,lr_msms_nist,99477,464.197,464,481,481,87.2,Beclomethasone 21-propionate,1,C25H33ClO6,[M+Na]+,,,,69224799,1509808,OPNPEZLXXKGRTA-XGQKBEPLSA-N,,,
#1014 361.1524@37.587 MS1+ [Scan #4315 @37.5937 MS2 +],,1,hr_msms_nist,163774,396.161,396,332,332,42.3,Tiaprost,1,C20H28O6S,[M+H-2H2O]+,,,,71116820,1316357,FYBFDIIAPRHIQS-SYJKBYRUSA-N,,,
#1113 375.1688@34.198 MS1+ [Scan #3913 @34.1920 MS2 +],,1,hr_msms_nist,847946,352.175,352,602,602,99,Ethyl 2-(4-(t-BOC)piperazin-1-yl)-4-hydroxypyrimidine-5-carboxylate,1,C16H24N4O5,[M+Na]+,,,,1065074318,3257440,QKKFACJXVJWDAL-UHFFFAOYSA-N,,,
#1268 351.1315@22.310 MS1+ [Scan #2535 @22.2730 MS2 +],,1,hr_msms_nist,862838,406.178,406,329,329,92.3,Isolupalbigenin,1,C25H26O5,[M+H-C4H8]+,,,,162616708,3275965,FXJPTJQFJYNFKC-UHFFFAOYSA-N,,,
#1293 407.2288@18.310 MS1+ [Scan #2097 @18.1927 MS2 +],,1,lr_msms_nist,41644,384.23,384,322,322,98.8,Ethynodiol diacetate,1,C24H32O4,[M+Na]+,,,,297767,1177543,ONKUMRGIYFNPJW-KIEAKMPYSA-N,,,
#1311 499.2051@31.924 MS1+ [Scan #3650 @31.9012 MS2 +],,1,hr_msms_nist,718145,476.206,476,503,503,98.6,"Methyl 3-[4-hydroxy-2-(2-methylpropyl)-1-oxo-3,3a-dihydro-2H-imidazo[1,2-a]indol-4-yl]-2-(4-oxoquinazolin-3-yl)propanoate",1,C26H28N4O5,[M+Na]+,,,,1793896395,3094986,XSMFFOWECZCAFL-UHFFFAOYSA-N,,,
#1444 413.0537@18.116 MS1+ [Scan #2082 @18.0580 MS2 +],,1,lr_msms_nist,155503,390.065,390,735,735,100,Phenyl{[4-phenyl-6-(trifluoromethyl)-2-pyrimidinyl]sulfanyl}acetic acid,1,C19H13F3N2O2S,[M+Na]+,,,,107072322,1833946,AQEVAFZLDGPQFC-UHFFFAOYSA-N,,,
#1648 367.1665@37.376 MS1+ [Scan #4263 @37.1538 MS2 +],,1,hr_msms_nist,709192,366.168,366,490,490,80.5,Longilactone,1,C19H26O7,[M+H]+,,,,129587093,3082870,KBBRVTNGCNCUCX-IRLOYWMGSA-N,,,
#1717 541.2732@34.459 MS1+ [Scan #3956 @34.5465 MS2 +],,1,hr_msms_nist,300122,540.262,540,709,709,81.6,Defluoroatorvastatin,1,C33H36N2O5,[M+H]+,,,,433289840,1512773,SWFBJYRYCRZMSB-KAYWLYCHSA-N,,,
#1718 541.2733@34.459 MS1+ [Scan #3956 @34.5465 MS2 +],,1,hr_msms_nist,300122,540.262,540,709,709,81.6,Defluoroatorvastatin,1,C33H36N2O5,[M+H]+,,,,433289840,1512773,SWFBJYRYCRZMSB-KAYWLYCHSA-N,,,
#1746 465.1996@37.287 MS1+ [Scan #4270 @37.2117 MS2 +],,1,hr_msms_nist,929682,464.184,464,391,391,100,"(3R,5S,5aR,6R,9aS)-5-(Benzoyloxy)-2,2,5a,9-tetramethyl-7-oxo-3,4,5,5a,6,7-hexahydro-2H-3,9a-methano-1-benzoxepin-6-yl furan-3-carboxylate",1,C27H28O7,[M+H]+,,,,2061554730,3364969,RMIVOYJOVNKIJQ-MRZUMUBOSA-N,,,
#1771 400.1941@23.913 MS1+ [Scan #2715 @23.9272 MS2 +],,1,hr_msms_nist,727403,399.183,399,615,615,80,"6'-(Diethylamino)-1',3'-dimethyl-3H-spiro[isobenzofuran-1,9'-xanthen]-3-one",1,C26H25NO3,[M+H]+,,,,21934689,3122387,XUFBVJQHCCCPNM-UHFFFAOYSA-N,,,
#1820 442.1471@11.805 MS1+ [Scan #1414 @11.8305 MS2 +],,1,lr_msms_nist,47058,441.14,441,802,802,100,Folic acid,1,C19H19N7O6,[M+H]+,,,,59303,1237300,OVBPIULPVIDEAO-LBPRGKRZSA-N,,,
#1894 599.2934@36.115 MS1+ [Scan #4138 @36.1338 MS2 +],,1,hr_msms_nist,3526,598.279,598,931,931,100,Hematoporphyrin,1,C34H38N4O6,[M+H]+,,,,14459291,1057578,UJKPHYRXOLRVJJ-AMPAVEGJSA-N,,,
#2404 557.2460@36.743 MS1+ [Scan #4215 @36.7708 MS2 +],,1,hr_msms_nist,292972,556.237,556,474,474,80.7,4-Hydroxyatorvastatin lactone,1,C33H33FN2O5,[M+H]+,,,,163217707,1502676,KDJMDZSAAFACAM-KAYWLYCHSA-N,,,
#2483 351.1314@21.292 MS1+ [Scan #2426 @21.2433 MS2 +],,1,lr_msms_nist,15648,350.123,350,722,722,98.5,Trp(Dioxidation)-Asn,1,C15H18N4O6,[M+H]+,,,,0,1078916,GTLOJQFANPPBBZ-UHFFFAOYSA-N,,,
#2697 641.3619@37.260 MS1+ [Scan #4271 @37.2188 MS2 +],,1,hr_msms_nist,659870,618.377,618,517,517,100,"13-Hydroxy-11-(2-hydroxypropan-2-yl)-1,1,7a,8,13a-pentamethyl-1,2,3,4,6,7,7a,7b,8,9,10,11,13,13a,15,15a-hexadecahydro-10,12a-epoxycyclopropa[1',8a']naphtho[2',1':4,5]indeno[2,1-b]oxepin-2-yl .beta.-D-xylopyranoside",1,C35H54O9,[M+Na]+,,,,0,3017525,LTVCFOSNIVVOBK-RSGHPYSYSA-N,,,
#2895 448.2332@33.280 MS1+ [Scan #3811 @33.2882 MS2 +],,1,hr_msms_nist,293824,720.234,720,659,659,97.7,Hydroxyitraconazole,1,C35H38Cl2N8O5,[M+H-C10H9Cl2N3O2]+,,,,112559918,1503976,ISJVOEOJQLKSJU-UHFFFAOYSA-N,,,
#3512 729.3569@37.429 MS1+ [Scan #4301 @37.4715 MS2 +],,1,hr_msms_nist,864821,706.378,706,314,314,100,"3-O-(2-Methylpropanoyl)hex-2-ulofuranosyl 2-O-decanoyl-3,6-bis-O-(2-methylpropanoyl)hexopyranoside",1,C34H58O15,[M+Na]+,,,,0,3279570,KSNWZOGDNCZVEN-UHFFFAOYSA-N,,,
#3532 425.2070@37.185 MS1+ [Scan #4278 @37.2775 MS2 +],,1,lr_msms_nist,19760,424.196,424,603,603,97.8,Tyr-Asp-Lys,1,C19H28N4O7,[M+H]+,,,,0,1083672,JFDGVHXRCKEBAU-UHFFFAOYSA-N,,,
#3834 460.2218@37.376 MS1+ [Scan #4283 @37.3223 MS2 +],,1,hr_msms_nist,249416,437.238,437,433,433,99,Tafluprost ethylamide,1,C24H33F2NO4,[M+Na]+,,,,1185851528,1439241,VJZKLIPANASSBD-MSHHKXPZSA-N,,,
#4196 362.1113@16.364 MS1+ [Scan #1901 @16.3723 MS2 +],,1,hr_msms_nist,96087,361.108,361,301,301,97.3,Bezafibrate,1,C19H20ClNO4,[M+H]+,,,,41859670,1212282,IIBYAHWJQTYFKB-UHFFFAOYSA-N,,,
#4297 375.1013@22.259 MS1+ [Scan #2542 @22.3373 MS2 +],,1,hr_msms_nist,613149,374.1,374,542,542,43.1,"5-Hydroxy-2-(3-hydroxy-4,5-dimethoxyphenyl)-3,7-dimethoxychromen-4-one",1,C19H18O8,[M+H]+,,,,14290574,1955849,LLDTYMGZAXZDDU-UHFFFAOYSA-N,,,
#5044 473.1678@19.589 MS1+ [Scan #2253 @19.6467 MS2 +],,1,hr_msms_nist,68086,472.166,472,337,337,99,Dexamethasone phosphate,1,C22H30FO8P,[M+H]+,,,,312936,1168693,VQODGRNSFPNSQE-CXSFZGCWSA-N,,,
#5364 439.2438@16.598 MS1+ [Scan #1926 @16.6156 MS2 +],,1,biopep_msms_nist,12870,876.475,876,967,967,98.3,"Spinorphin, bovine",2,C45H64N8O10,[M+2H]2+,,,,0,0,,,,
#6117 599.2804@16.816 MS1+ [Scan #1957 @16.9032 MS2 +],,1,hr_msms_nist,183199,598.279,598,303,303,100,Hematoporphyrin,1,C34H38N4O6,[M+H]+,,,,14459291,1344079,UJKPHYRXOLRVJJ-AMPAVEGJSA-N,,,
#6775 483.9918@2.876 MS1+ [Scan #305 @2.9117 MS2 +],,1,lr_msms_nist,40437,482.985,483,334,334,100,Cytidine 5'-triphosphate,1,C9H16N3O14P3,[M+H]+,,,,65474,1161216,PCDQPRRSZKQHHS-XVFCMESISA-N,,,
#6979 413.2660@3.273 MS1+ [Scan #324 @3.0324 MS2 +],,1,lr_msms_nist,7579,390.277,390,515,515,98.6,Diisooctyl phthalate,1,C24H38O4,[M+Na]+,,,,131204,1033710,IJFPVINAQGWBRJ-UHFFFAOYSA-N,,,
#8040 351.0411@5.139 MS1+ [Scan #605 @4.9902 MS2 +],,1,hr_msms_nist,271740,175.013,175,326,326,100,(-)-Sulforaphene,1,C6H9NOS2,[2M+H]+,,,,592950,1473070,QKGJFQMGPDVOQE-HWKANZROSA-N,,,
#8160 560.0791@5.957 MS1+ [Scan #710 @5.8568 MS2 +],,1,lr_msms_nist,40469,559.072,559,765,765,100,Adenosine 5'-diphosphoribose,1,C15H23N5O14P2,[M+H]+,,,,20762305,1161406,SRNWOUGRCWSEMX-TYASJMOZSA-N,,,
#8214 364.1173@6.749 MS1+ [Scan #779 @6.5666 MS2 +],,1,hr_msms_nist,841652,363.105,363,302,302,100,Rufloxacin,1,C17H18FN3O3S,[M+H]+,,,,101363104,3249653,NJCJBUHJQLFDSW-UHFFFAOYSA-N,,,
#8238 771.2639@6.859 MS1+ [Scan #836 @7.0687 MS2 +],,1,hr_msms_nist,109416,748.275,748,578,578,97.5,Man2a,1,C28H48N2O21,[M+Na]+,,,,0,1234366,,,,
#8326 1013.3164@7.254 MS1+ [Scan #861 @7.1274 MS2 +],,1,lr_msms_nist,215436,990.328,990,479,479,100,Cellohexaose,1,C36H62O31,[M+Na]+,,,,2478355,3479971,,,,
#8371 665.1004@7.437 MS1+ [Scan #873 @7.4315 MS2 +],,1,lr_msms_nist,14104,664.093,664,345,345,100,Nicotinic acid adenine dinucleotide,1,C21H26N6O15P2,[M+H]+,,,,100659174,1054341,SENPVEZBRZQVST-FXJSMKSKSA-N,,,
#8384 1175.3689@7.493 MS1+ [Scan #897 @7.5311 MS2 +],,1,lr_msms_nist,48654,1152.38,1152,333,333,93.8,Maltoheptaose,1,C42H72O36,[M+Na]+,,,,34620785,1261391,BNABBHGYYMZMOA-WPQHDQNLSA-N,,,
#8384 1175.3689@7.493 MS1+ [Scan #871 @7.4150 MS2 +],,1,lr_msms_nist,48654,1152.38,1152,368,368,94.3,Maltoheptaose,1,C42H72O36,[M+Na]+,,,,34620785,1261391,BNABBHGYYMZMOA-WPQHDQNLSA-N,,,
#8468 915.3061@7.899 MS1+ [Scan #947 @7.9265 MS2 +],,1,lr_msms_nist,120049,1113.407,1113,345,345,49.3,Man2G1 Fragment a,1,C42H71N3O31,[M+Na]+=>915.3,,,,0,1595410,,,,
#8593 542.0687@8.399 MS1+ [Scan #987 @8.2097 MS2 +],,1,lr_msms_nist,41228,541.061,541,487,487,100,Cyclic adenosine diphosphate ribose,1,C15H21N5O13P2,[M+H]+,,,,119340533,1173070,BQOHYSXSASDCEA-AUFQSWFVSA-N,,,
#8815 487.1800@8.914 MS1+ [Scan #1100 @8.9292 MS2 +],,1,lr_msms_nist,99477,464.197,464,514,514,88.5,Beclomethasone 21-propionate,1,C25H33ClO6,[M+Na]+,,,,69224799,1509808,OPNPEZLXXKGRTA-XGQKBEPLSA-N,,,
#8858 413.2031@9.187 MS1+ [Scan #1106 @9.2003 MS2 +],,1,hr_msms_nist,273554,824.4,824,628,628,98.9,Vincristine,2,C46H56N4O10,[M+2H]2+,,,,57227,1475666,OGWKCGZFUXNPDA-CFWMRBGOSA-N,,,
#8950 428.0367@9.850 MS1+ [Scan #1174 @9.8570 MS2 +],,1,lr_msms_nist,13809,427.029,427,373,373,100,Adenosine 5'-diphosphate,1,C10H15N5O10P2,[M+H]+,,,,58640,1053868,XTWYTFMLZFPYCI-KQYNXXCUSA-N,,,
#9179 414.2709@10.698 MS1+ [Scan #1272 @10.6691 MS2 +],,1,hr_msms_nist,99486,413.257,413,871,871,99,15-Ketobimatoprost,1,C25H35NO4,[M+H]+,,,,1163135963,1217138,OZCBJWOYRKMMPF-QWPROEHNSA-N,,,
#9212 385.1288@10.877 MS1+ [Scan #1262 @10.6884 MS2 +],,1,lr_msms_nist,12494,384.122,384,410,410,99,S-(5'-Adenosyl)-L-homocysteine,1,C14H20N6O5S,[M+H]+,,,,979920,1051768,ZJUKTBDSGOFHSH-WFMPWKQPSA-N,,,
#10035 450.2323@16.717 MS1+ [Scan #1919 @16.6294 MS2 +],,1,hr_msms_nist,581134,449.231,449,484,484,98.4,"6b-Hydroxy-2,2-dimethyl-14a-(2-methylbut-3-en-2-yl)-2,6b,7,7a,10,11,12,12a,14a,15-decahydro-8H,13H-pyrano[3,2-g]pyrrolo[1'',2'':4',5']pyrazino[1',2':1,5]pyrrolo[2,3-b]indole-8,13-dione",1,C26H31N3O4,[M+H]+,,,,0,1913390,IDMNDTVGFAYTCQ-UHFFFAOYSA-N,,,
#10153 481.2118@18.072 MS1+ [Scan #2062 @17.9502 MS2 +],,1,hr_msms_nist,506413,458.23,458,952,952,100,"Methyl 16-hydroxy-4,4,8,12,16-pentamethyl-15,17,19-trioxo-3,19-epoxyandrost-11-ene-14-carboxylate",1,C26H34O7,[M+Na]+,,,,1229025131,1821042,UPJBUABBBFMLGN-UHFFFAOYSA-N,,,
#10553 417.2595@20.156 MS1+ [Scan #2288 @20.0043 MS2 +],,1,hr_msms_nist,206083,394.272,394,323,323,98.5,Prostaglandin E2 isopropyl ester,1,C23H38O5,[M+Na]+,,,,71845664,1376833,NOHLKSJQMSPOTB-FZNVCOGTSA-N,,,
#10583 410.2010@20.560 MS1+ [Scan #2344 @20.5187 MS2 +],,1,hr_msms_nist,909949,387.205,387,702,702,99,"11,13,14-Trihydroxyhetisan-2-yl acetate",1,C22H29NO5,[M+Na]+,,,,0,3341334,XGTNTUKODZZCGL-LKQJZJTQSA-N,,,
#10591 453.2098@20.560 MS1+ [Scan #2349 @20.5670 MS2 +],,1,hr_msms_nist,29591,452.202,452,330,330,97.9,Tyr-Asp-Arg,1,C19H28N6O7,[M+H]+,,,,0,1096894,BARBHMSSVWPKPZ-UHFFFAOYSA-N,,,
#10651 426.1749@21.128 MS1+ [Scan #2414 @21.1610 MS2 +],,1,hr_msms_nist,371391,408.134,408,406,406,98.7,Dapagliflozin,1,C21H25ClO6,[M+NH4]+,,,,461432268,1616906,JVHXJTBJCFBINQ-ADAARDCZSA-N,,,
#11436 379.0699@25.706 MS1+ [Scan #2951 @25.6073 MS2 +],,1,hr_msms_nist,203423,356.088,356,386,386,97.6,Sulindac,1,C20H17FO3S,[M+Na]+,,,,38194502,1372810,MLKXDPUZXIRXEP-RQZCQDPDSA-N,,,
#11459 467.1678@25.859 MS1+ [Scan #2972 @25.7753 MS2 +],,1,hr_msms_nist,109437,910.328,910,548,548,33.3,Man3 b,2,C34H58N2O26,[M+H+Na]2+,,,,0,1234405,,,,
#11467 467.1677@26.059 MS1+ [Scan #3031 @26.0198 MS2 +],,1,hr_msms_nist,109437,910.328,910,544,544,48.3,Man3 b,2,C34H58N2O26,[M+H+Na]2+,,,,0,1234405,,,,
#11483 384.2592@25.974 MS1+ [Scan #2985 @25.8817 MS2 +],,1,hr_msms_nist,32133,361.262,361,460,460,100,Arachidonoylglycine,1,C22H35NO3,[M+Na]+,,,,179113918,1105885,YLEARPUNMCCKMP-DOFZRALJSA-N,,,
#11581 457.1582@26.795 MS1+ [Scan #3147 @26.8235 MS2 +],,1,hr_msms_nist,737136,456.142,456,522,522,98.9,Steganacin,1,C24H24O9,[M+H]+,,,,41451687,3134577,XJTXBUKLGQCZHC-XFQAVAEZSA-N,,,
#11640 467.1674@27.435 MS1+ [Scan #3175 @27.4248 MS2 +],,1,hr_msms_nist,655556,444.178,444,657,657,100,"7-(Hydroxymethyl)-2,5a,11,11,13a-pentamethyl-3a,5a,6,8,12,13a,13b,13c-octahydrofuro[4,3,2-ij]pyrano[4',3':4,5]cyclohepta[1,2-f]isochromene-1,5,9,13(2H,11H)-tetrone",1,C24H28O8,[M+Na]+,,,,1212359982,3011573,JIEVZPUBUDASNE-UHFFFAOYSA-N,,,
#11647 467.1678@27.553 MS1+ [Scan #3236 @27.5478 MS2 +],,1,hr_msms_nist,289877,614.147,614,624,624,54.1,"11,17-Difuroatemometasone",1,C32H32Cl2O8,[M+H-C5H5ClO3]+,,,,1370190332,1498459,MJDGUHJEIVTMQZ-VYYCQGSCSA-N,,,
#11881 499.2050@29.807 MS1+ [Scan #3843 @29.8145 MS2 +],,1,hr_msms_nist,718145,476.206,476,545,545,52.3,"Methyl 3-[4-hydroxy-2-(2-methylpropyl)-1-oxo-3,3a-dihydro-2H-imidazo[1,2-a]indol-4-yl]-2-(4-oxoquinazolin-3-yl)propanoate",1,C26H28N4O5,[M+Na]+,,,,1793896395,3094986,XSMFFOWECZCAFL-UHFFFAOYSA-N,,,
#11959 499.2051@30.622 MS1+ [Scan #3581 @30.6312 MS2 +],,1,hr_msms_nist,718145,476.206,476,617,617,99,"Methyl 3-[4-hydroxy-2-(2-methylpropyl)-1-oxo-3,3a-dihydro-2H-imidazo[1,2-a]indol-4-yl]-2-(4-oxoquinazolin-3-yl)propanoate",1,C26H28N4O5,[M+Na]+,,,,1793896395,3094986,XSMFFOWECZCAFL-UHFFFAOYSA-N,,,
#12100 369.1608@32.037 MS1+ [Scan #3757 @32.0202 MS2 +],,1,hr_msms_nist,597299,346.178,346,790,790,98.8,"9,11,18-Trihydroxy-6,18-epoxypimara-5,8(14),15-trien-7-one",1,C20H26O5,[M+Na]+,,,,0,1934267,DVIBNAPGGXYIPD-UHFFFAOYSA-N,,,
#12109 375.1688@32.088 MS1+ [Scan #3761 @32.0457 MS2 +],,1,hr_msms_nist,847947,352.175,352,443,443,99,Ethyl 2-(4-(t-BOC)piperazin-1-yl)-4-hydroxypyrimidine-5-carboxylate,1,C16H24N4O5,[M+Na]+,,,,1065074318,3257441,QKKFACJXVJWDAL-UHFFFAOYSA-N,,,
#12212 505.3172@32.694 MS1+ [Scan #3857 @32.8165 MS2 +],,1,hr_msms_nist,202259,504.317,504,311,311,87.7,Dipyridamole,1,C24H40N8O4,[M+H]+,,,,58322,1370865,IZEKFCXSFNUWAM-UHFFFAOYSA-N,,,
#12298 375.2617@33.601 MS1+ [Scan #3954 @33.6258 MS2 +],,1,hr_msms_nist,102498,392.256,392,869,869,70.8,"9-Oxo-11.alpha.,16R-dihydroxy-17-cyclobutyl-5Z,13E-dien-1-oic acid",1,C23H36O5,[M+H-H2O]+,,,,212310162,1221604,HJVBXPOYFHMZAS-PMPWYNIUSA-N,,,
#12332 376.2592@33.701 MS1+ [Scan #4094 @33.5598 MS2 +],,1,hr_msms_nist,28921,375.248,375,399,399,87.3,Thr-Lys-Lys,1,C16H33N5O5,[M+H]+,,,,0,1096219,MGJLBZFUXUGMML-UHFFFAOYSA-N,,,
#12338 467.1469@33.796 MS1+ [Scan #4004 @33.7107 MS2 +],,1,hr_msms_nist,353550,894.333,894,525,525,90.5,Lewis A Core 1,2,C34H58N2O25,[M+H+K]2+,,,,0,1591043,,,,
#12362 382.2088@33.825 MS1+ [Scan #3992 @33.9053 MS2 +],,1,hr_msms_nist,166605,381.209,381,548,548,100,"Methanone, (1-hexyl-5-phenyl-1H-pyrrol-3-yl)-1-naphthalenyl-",1,C27H27NO,[M+H]+,,,,914458201,1320441,FRMYAMAGHYHNKF-UHFFFAOYSA-N,,,
#12383 451.1726@33.840 MS1+ [Scan #4012 @33.7772 MS2 +],,1,hr_msms_nist,73602,225.086,225,564,564,99,Acyclovir,1,C8H11N5O3,[2M+H]+,,,,59277893,1177460,MKUXAQIIEYXACX-UHFFFAOYSA-N,,,
#12392 435.2351@33.744 MS1+ [Scan #3969 @33.8192 MS2 +],,1,hr_msms_nist,661079,412.246,412,406,406,73.7,Andromedotoxin,1,C22H36O7,[M+Na]+,,,,4720096,3019219,NXCYBYJXCJWMRY-VGBBEZPXSA-N,,,
#12469 350.9871@34.304 MS1+ [Scan #4012 @34.1655 MS2 +],,1,lr_msms_nist,117698,326.001,326,455,455,43.1,Tris(1-chloro-2-propyl) phosphate,1,C9H18Cl3O4P,[M+Na+2i]+,,,,13674845,1585044,KVMPUXDNESXNOH-UHFFFAOYSA-N,,,
#12469 350.9871@34.304 MS1+ [Scan #4028 @34.1995 MS2 +],,1,lr_msms_nist,117698,326.001,326,420,420,44.1,Tris(1-chloro-2-propyl) phosphate,1,C9H18Cl3O4P,[M+Na+2i]+,,,,13674845,1585044,KVMPUXDNESXNOH-UHFFFAOYSA-N,,,
#12525 478.2736@34.815 MS1+ [Scan #4260 @34.7890 MS2 +],,1,hr_msms_nist,724082,477.263,477,634,634,98.4,"(8R,9a'S,10a'S)-1',1',4,4,12'-Pentamethyl-6',7',8',9',10',10a'-hexahydro-1'H,4H,11'H-spiro[1,4-dioxepino[2,3-g]indole-8,2'-[3a,9a](epiminomethano)cyclopenta[b]quinolizine]-9,11'(10H)-dione",1,C28H35N3O4,[M+H]+,,,,0,3103098,KYKUTNUWXQVSSU-DDOVHJNQSA-N,,,
#12525 478.2736@34.815 MS1+ [Scan #4088 @34.7717 MS2 +],,1,hr_msms_nist,724082,477.263,477,725,725,98.3,"(8R,9a'S,10a'S)-1',1',4,4,12'-Pentamethyl-6',7',8',9',10',10a'-hexahydro-1'H,4H,11'H-spiro[1,4-dioxepino[2,3-g]indole-8,2'-[3a,9a](epiminomethano)cyclopenta[b]quinolizine]-9,11'(10H)-dione",1,C28H35N3O4,[M+H]+,,,,0,3103098,KYKUTNUWXQVSSU-DDOVHJNQSA-N,,,
#12533 387.2142@34.781 MS1+ [Scan #4108 @34.8433 MS2 +],,1,biopep_msms_nist,6599,772.408,772,701,701,79.1,"Nocistatin (25-30), human",2,C32H56N10O12,[M+2H]2+,,,,0,0,,,,
#12553 469.1834@34.905 MS1+ [Scan #4224 @34.9308 MS2 +],,1,hr_msms_nist,700090,446.194,446,373,373,49.4,Gnaphalidin,1,C24H30O8,[M+Na]+,,,,70544922,3070025,GXQZOQHVBGNFHI-CZQCRYLRSA-N,,,
#12641 383.2040@35.496 MS1+ [Scan #4184 @35.4745 MS2 +],,1,lr_msms_nist,21612,382.196,382,484,484,33.5,PyroGlu-Pro-Arg,1,C16H26N6O5,[M+H]+,,,,0,1085695,JMRQLMOQNRXVDP-UHFFFAOYSA-N,,,
#12694 437.1934@35.736 MS1+ [Scan #4209 @35.6542 MS2 +],,1,hr_msms_nist,27155,436.193,436,767,767,100,Met-Met-Arg,1,C16H32N6O4S2,[M+H]+,,,,0,1094449,OXIWIYOJVNOKOV-UHFFFAOYSA-N,,,
#12696 453.1674@35.675 MS1+ [Scan #4384 @35.7140 MS2 +],,1,hr_msms_nist,613212,430.184,430,467,467,82.6,Phenethyl rutinoside,1,C20H30O10,[M+Na]+,,,,88510081,1955933,OKUGUNDXBGUFPA-OCGSKHJZSA-N,,,
